"ID","Drone","Varroa","Day","Mo","Year","Geocluster","City_original","City_rename","State","Country","Latitude","Longitude","Other_obs","Weather","Collector","Beekeeper","S_sample","S_site"
"1001","YES","Unknown",21,3,1988,"TAM","SOTO ALDAMA","","TAMAULIPAS","MEXICO",NA,NA,"","OVERCAST","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1002","","Unknown",21,3,1988,"TAM","VICT-SLM","","TAMAULIPAS","MEXICO",23.74077,-99.110129,"NO COMB. NEW SWARM","OVERCAST","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1003","","Unknown",21,3,1988,"TAM","VICT-SLM","","TAMAULIPAS","MEXICO",23.74077,-99.110129,"MUCH COMB AT ENTRANCE HOLE","NUBLADO, BRISA DEL SUR","WLR ET AL","TRAPLINE",NA,NA
"1004","YES","Unknown",21,3,1988,"TAM","VICT-SLM","","TAMAULIPAS","MEXICO",23.74077,-99.110129,"MUCH COMB MOSTLY ON HICIR COVER (BACK)","NUBLADO, BRISA DEL SUR","WLR ET AL","TRAPLINE",NA,NA
"1005","","Unknown",18,4,1988,"TAM","SLM/LA PESCA","","TAMAULIPAS","MEXICO",NA,NA,"VERY AGGRESIVE","SUNNY","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1006","","Unknown",18,4,1988,"TAM","SLM/LA PESCA","","TAMAULIPAS","MEXICO",NA,NA,"POLEN Y MIEL VEN MADURA","SUNNY","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1007","","Unknown",18,4,1988,"TAM","SLM/LA PESCA","","TAMAULIPAS","MEXICO",NA,NA,NA,"SUNNY","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1009","","Unknown",18,4,1988,"TAM","SLM/LA PESCA","","TAMAULIPAS","MEXICO",NA,NA,NA,"SUNNY BREEZY","WLR","TRAPLINE",NA,NA
"1010","","Unknown",19,4,1988,"TAM","SLM/LA PESCA","","TAMAULIPAS","MEXICO",NA,NA,"NO DRONES NOR DRONE BROOD","HAZEY COOL","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1011","","Unknown",18,4,1988,"TAM","SLM/LA PESCA","","TAMAULIPAS","MEXICO",NA,NA,NA,"HAZEY COOL","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1012","","Unknown",18,4,1988,"TAM","SLM/LA PESCA","","TAMAULIPAS","MEXICO",NA,NA,NA,"SUNNY BREEZY","WLR ET AL","TRAPLINE",NA,NA
"1013","","Unknown",18,4,1988,"TAM","SLM/LA PESCA","","TAMAULIPAS","MEXICO",NA,NA,"ONLY WORKER CELLS","SUNNY BREEZY","WLR ET AL","TRAPLINE",NA,NA
"1015","","Unknown",19,4,1988,"TAM","SLM/LA PESCA","","TAMAULIPAS","MEXICO",NA,NA,NA,"SUNNY COOL","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1017","","Unknown",23,3,1988,"TAM","SOTO/LA PESCA","","TAMAULIPAS","MEXICO",23.784679,-97.775543,"3 VERY SMALL DIAGNOLLY COMBS, NO BROOD","OVERCAST COOL AND HUMID","WTW","TRAPLINE",NA,NA
"1019","","Unknown",22,3,1988,"TAM","SOTO/LA PESCA","","TAMAULIPAS","MEXICO",23.784679,-97.775543,"BEES VERY MEAN & AGGRESIVE 7 SMALL COMBS, NO CAPPED BROOD A HUGE SWARM. COMBS LENGTHWISE FOUND DRONES","OVERCAST","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1022","","Unknown",23,3,1988,"TAM","SOTO/LA PESCA","","TAMAULIPAS","MEXICO",23.784679,-97.775543,"6 MEDIUM SIZE COMBS DIAGNAL A LITTLE BROOD WITH 3 OR 4 SEALED CELLS","OVERCAST","WTW","TRAPLINE",NA,NA
"1023","","Unknown",23,3,1988,"TAM","SOTO/LA PESCA","","TAMAULIPAS","MEXICO",23.784679,-97.775543,"5 MEDIUM COMBS DIAGONAL. HOWEVER 5 EARLIER COMBS HAD FALLEN DOWN ON THE BOTTOM OF SWARM TRAP.","OVERCAST","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1024","","Unknown",23,3,1988,"TAM","SOTO/LA PESCA","","TAMAULIPAS","MEXICO",23.784679,-97.775543,"6 HANGING COMBS, 4 FALLEN, NO BROOD VISIBLE-DIAGONAL COMBS","OVERCAST","WTW,WLR,DLM,RR","TRAPLINE",NA,NA
"1025","","Unknown",23,3,1988,"TAM","VICT-SLM","","TAMAULIPAS","MEXICO",23.74077,-99.110129,"2 SMALL COMBS BOTTOM, BROKEN, 2 ON TOP (ATTACHED) COMB LONGITUDINAL, HONEY BUT NO BROOD, LITTLE POLLEN","OVERCAST SLIGHTLY","WTW ET AL","TRAPLINE",NA,NA
"1026","","Unknown",23,3,1988,"TAM","VICT-SLM","","TAMAULIPAS","MEXICO",23.74077,-99.110129,"3 SMALL DIAGONAL","OVERCAST SLIGHTLY","WTW ET AL","TRAPLINE",NA,NA
"1027","","Unknown",23,3,1988,"TAM","VICT-SLM","","TAMAULIPAS","MEXICO",23.74077,-99.110129,"REINA CONGELADA MUCH CAPPED BROOD 6 MED. COMBS, DIAGONAL W/HONEY AND CAPPED BROOD","UN POCO NUBLADO, BRISA DEL ESTE","WTW ET AL","TRAPLINE",NA,NA
