ID,Drone,Day,Mo,Year,City_original,State,Country,Location.new,Geocluster,Latitude,Longitude,Collector,Varroa,Other_obs,Weather,Beekeeper,ABPV,AM,AR,BQCV,CBPV,DWV,IAPV,KBV,LSV,SBPV,SV,VDV1,VDV2,VDV3,VO1,VTV,Afr.Extent,V.arrival
1002,,21,3,1988,VICT-SLM,TAMAULIPAS,MEXICO,Aldama region,TAM,22.921855,-98.082063,"WTW,WLR,DLM,RR",NA,NO COMB. NEW SWARM,OVERCAST,TRAPLINE,0,0.0392837,0,25.6935,5.61887,0,0,0,43.7946,0,24.8537,0,0,0,0,0,1.00E-07,0
1003,,21,3,1988,VICT-SLM,TAMAULIPAS,MEXICO,Aldama region,TAM,22.921855,-98.082063,WLR ET AL,NA,MUCH COMB AT ENTRANCE HOLE,"NUBLADO, BRISA DEL SUR",TRAPLINE,0,0.00599878,0,1.07016,18.023,0,0,0,2.57255,0,78.3282,0,0,0,0,0,1.00E-07,0
1011,,18,4,1988,SLM/LA PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,NA,HAZEY COOL,TRAPLINE,0,7.81E-05,0,0.0223736,0.001847,0,0,0,99.975,0,0.000746368,0,0,0,0,0,1.00E-07,0
1017,,23,3,1988,SOTO/LA PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,WTW,NA,"3 VERY SMALL DIAGNOLLY COMBS, NO BROOD",OVERCAST COOL AND HUMID,TRAPLINE,0,0.0903191,0,0,0,0,0,0,2.20442,0,97.7053,0,0,0,0,0,2.649533616,0
1019,,22,3,1988,SOTO/LA PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"BEES VERY MEAN & AGGRESIVE 7 SMALL COMBS, NO CAPPED BROOD A HUGE SWARM. COMBS LENGTHWISE FOUND DRONES",OVERCAST,TRAPLINE,0,72.3591,0,0.281511,0,0,0,0,0.813976,0,26.5455,0,0,0,0,0,1.00E-07,0
1022,,23,3,1988,SOTO/LA PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,WTW,NA,6 MEDIUM SIZE COMBS DIAGNAL A LITTLE BROOD WITH 3 OR 4 SEALED CELLS,OVERCAST,TRAPLINE,0,0.060023,0,41.2023,0,0,0,0,41.4115,0,17.3262,0,0,0,0,0,1.00E-07,0
1024,,23,3,1988,SOTO/LA PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"6 HANGING COMBS, 4 FALLEN, NO BROOD VISIBLE-DIAGONAL COMBS",OVERCAST,TRAPLINE,0,0.297372,0,88.3726,7.0822,0,0,0,4.24781,0,0,0,0,0,0,0,1.00E-07,0
1025,,23,3,1988,VICT-SLM,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,WTW ET AL,NA,"2 SMALL COMBS BOTTOM, BROKEN, 2 ON TOP (ATTACHED) COMB LONGITUDINAL, HONEY BUT NO BROOD, LITTLE POLLEN",OVERCAST SLIGHTLY,TRAPLINE,0,0.553186,0,0,0,0,0,0,95.1951,0,4.25168,0,0,0,0,0,1.00E-07,0
1027,,23,3,1988,VICT-SLM,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,WTW ET AL,NA,"REINA CONGELADA MUCH CAPPED BROOD 6 MED. COMBS, DIAGONAL W/HONEY AND CAPPED BROOD","UN POCO NUBLADO, BRISA DEL ESTE",TRAPLINE,0,1.47301,0,0,0,0,0,0,84.3873,0,14.1397,0,0,0,0,0,1.00E-07,0
1028,,23,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,MANY DRONES. 8 LARGE COMBS W/FRESH NECTAR 2ND COMB MEASUREMENT GAVE 5.4 CM/10 CELLS,OVERCAST,TRAPLINE,0,0.0916972,0,60.2899,0,0,0,0,39.6184,0,0,0,0,0,0,0,1.00E-07,0
