"Year","ABPV","AM","AR","BQCV","CBPV","DWV","IAPV","KBV","LSV","SBPV","SV","VDV1","VDV2","VDV3","VO1","VTV","Afr.Extent"
1988,5.08703719328859,2.03701348810899,0,15.8024468733758,0.669945302013423,3.01703826845638,4.06403355704698e-05,0.112713147651007,48.3762404526201,0,24.8914146105973,0.00610951006711409,0,0,0,0,0.671800887814366
1989,2.01158477101449,3.63463731973913,0.00549013043478261,20.6569167597101,0,2.92289028985507,0,0,41.4117805252174,0.89936231884058,28.457343342029,0,0,0,0,0,1.75576439662479
1990,4.22276745349345,8.73659737788166,0.159165240174672,15.2115313479476,3.22862379912664,11.7543614672489,0,0.0196057641921397,43.1291870325327,0.0770076419213974,13.4584062257642,0.00274617030567686,0,0,0,0,40.8529296818103
1991,4.42142678305085,7.40636330111725,0.502002305084746,26.3983528095254,2.57580004745763,3.87834184367458,0,0.112988484745763,40.8869069518644,0,13.8029144518949,0.0148919661016949,0,0,0,8.41661016949153e-06,65.5047004487983
1992,7.6893056,4.4429521436,0,15.3118987197,4.3115505,3.541900601,0,0.0059598511,45.589347164,0,19.092976001,0.0141119,0,0,0,0,54.449906002787
1993,12.3590941865385,3.92142713327885,0,35.1897448457692,2.38134740096154,3.22582719134615,0.133118158653846,0.00525622788461538,32.9498005130769,0,9.83429047019231,0.000101292307692308,0,0,0,0,46.4953486103094
1994,3.80429821428571,4.59586450721214,0,29.3308033035714,0,1.58909142857143,0,0,29.8835686364286,0,29.878239937,0,0,0,0,0.918139285714286,22.5249472849279
1995,3.59475981481481,0.566974772518518,2.66364444444444,59.4594612962963,0.785312222222222,15.4322962962963,0,0,17.3485897555556,0,0.0942852655555556,0,0,0,0.0546711111111111,0,75.0513395509812
1996,7.32393671428571,1.12006005714286,2.09597142857143,21.3833472285714,0,28.3203742742857,0,0,28.7728821428571,0,9.91181071428571,0.0142157142857143,0.00215202857142857,0.0530900714285714,0,1.00215,72.0581280483754
1997,0.0076899375,0.02398762980375,10.36532728125,0.1038032005,0,87.14051063,0.0041143,0.003559475,0.0793355,0,0.19145460865,0.003266225,0,0,2.07693868375,0,64.7563655950527
2001,17.522475,0.22275775,0,13.2138625,0,66.511225,0,0,2.529675,0,0,0,0,0,0,0,51.2307917279422
