"Year","Geocluster","ABPV","AM","AR","BQCV","CBPV","DWV","IAPV","KBV","LSV","SBPV","SV","VDV1","VDV2","VDV3","VO1","VTV","Afr.Extent"
1988,"BOR",11.4433777777778,0.466627611111111,0,23.3324055555556,0,0.131713333333333,0,0,47.43678,0,17.1890888888889,0,0,0,0,0,0.196176437855661
1988,"TAM",4.67841529857143,2.137966865916,0,15.31837810095,0.713013214285714,3.20252344285714,4.32529285714286e-05,0.119958992857143,48.43663433886,0,25.3865641212786,0.00650226428571429,0,0,0,0,0.702159895258539
1989,"BOR",0.710285,0.210196507,0.0631365,46.3798233333333,0,9.87244333333333,0,0,28.286907,0,14.477225,0,0,0,0,0,0.596040748370415
1989,"TAM",2.13551808253968,3.96077454,0,18.2071161336508,0,2.2610280952381,0,0,42.66176848,0.985015873015873,29.788783184127,0,0,0,0,0,1.86621426788711
1990,"BOR",4.97263268928571,14.3690256998571,0,28.30174955,0,0,0,0,37.4098785714286,0,14.9467162642857,0,0,0,0,0,1.59308410998223
1990,"TAM",3.46383604477612,7.96782819337239,0,18.0750306134328,3.19712201492537,14.3191270895522,0,0.0335053731343284,37.6333592570896,0.0503078358208955,15.2598812761194,0,0,0,0,0,35.6805261309357
1990,"VER",5.34867727407407,9.03488224475309,0.449985679012346,8.21187756518519,3.83877160493827,9.54303390123457,0,0,53.2095727160494,0.134487654320988,10.2209494691358,0.00776386419753086,0,0,0,0,55.9503359580096
1991,"BOR",0.246424166666667,5.81304173227083,0,18.640741895,0,0,0,0,56.10431875,0,19.195369111625,0,0,0,0,0.000103454166666667,35.0559805082457
1991,"TAM",4.79116871217712,7.54746927031398,0.546460073800738,27.0853737023247,2.80391518081181,4.22181123204428,0,0.12299484501845,39.5392394863469,0,13.3253538916236,0.0162108118081181,0,0,0,0,68.1815109930228
1992,"BOR",16.22061625,0.096818896875,0,22.849446875,0,0,0,0.0110885625,37.188606525,0,23.6334273625,0,0,0,0,0,15.412318049636
1992,"TAM",7.9593859375,6.58855449573437,0,8.77071770265625,5.76107015625,3.56301,0,0.00654012671875,50.4914264375,0,16.8592974296875,0,0,0,0,0,80.3716742059362
1992,"WEL",0,1.05393121415,0,30.21363945,3.122328,6.307871005,0,0,36.623286,0,22.60838634,0.0705595,0,0,0,0,2.73031811523034
1993,"BOR",12.292888,0.885860939090909,0,35.6476136363636,0,2.91393,0,0,36.5601790909091,0,11.6995372727273,0,0,0,0,0,73.8099858786977
1993,"TAM",18.557223987234,6.62258191282979,0,45.9388364893617,0.331289993617021,1.97543276595745,0.294559329787234,0.0116308021276596,19.8805745182979,0,6.38787642553191,0,0,0,0,0,82.0966048512582
1993,"WEL",6.04205434782609,1.88744786147826,0,24.097486933913,5.04542391304348,4.57798821521739,0,0,45.4397887173913,0,12.9095892804348,0.000229008695652174,0,0,0,0,3.58839093037743
1994,"BOR",17.5848683333333,3.96072816666667,0,30.2713333333333,0,0,0,0,35.5462,0,12.6368666666667,0,0,0,0,0,71.6390854937586
1994,"WEL",0.0459609090909091,4.76908350917909,0,29.0742951136364,0,2.02248,0,0,28.3392146281818,0,34.5804326470909,0,0,0,0,1.16854090909091,9.13018231888312
1995,"TAM",4.17605673913044,0.652176663391304,0,64.4595956521739,0.921888260869565,10.4905434782609,0,0,19.2954010173913,0,0.00433139869565217,0,0,0,0,0,85.8474463344744
1995,"WEL",0.2523025,0.0770639,17.9796,30.70868875,0,43.847375,0,0,6.154425,0,0.61152,0,0,0,0.36903,0,12.9737255458948
1996,"BOR",14.2002,0.1624599,0,6.123755,0,6.62205,0,0,72.89155,0,0,0,0,0,0,0,84.0126922871264
1996,"TAM",3.158667,2.12170341428571,4.19194285714286,41.0122285714286,0,26.0050285714286,0,0,21.0989442857143,0,0.300992857142857,0,0,0.106180142857143,0,2.0043,90.7503866104474
1996,"WEL",10.404809,0.10079942,0,0.00675024,0,40.241187968,0,0,21.868928,0,27.33168,0.039804,0.00602568,0,0,0,41.107140365974
1997,"WEL",0.0076899375,0.02398762980375,10.36532728125,0.1038032005,0,87.14051063,0.0041143,0.003559475,0.0793355,0,0.19145460865,0.003266225,0,0,2.07693868375,0,64.7563655950527
2001,"WEL",17.522475,0.22275775,0,13.2138625,0,66.511225,0,0,2.529675,0,0,0,0,0,0,0,51.2307917279422
