"Year","ABPV","AM","AR","BQCV","CBPV","DWV","IAPV","KBV","LSV","SBPV","SV","VDV1","VDV2","VDV3","VO1","VTV","Varroa","African"
1988,11.3333333333333,95.3333333333333,0,62.6666666666667,5.33333333333333,6.66666666666667,0.666666666666667,1.33333333333333,90,0,56.6666666666667,0.666666666666667,0,0,0,0,0.666666666666667,27.3333333333333
1989,8.69565217391304,97.1014492753623,1.44927536231884,68.1159420289855,0,8.69565217391304,0,0,89.8550724637681,1.44927536231884,65.2173913043478,0,0,0,0,0,0,27.536231884058
1990,13.7339055793991,90.1287553648069,0.858369098712446,40.7725321888412,4.72103004291846,14.5922746781116,0,0.429184549356223,65.2360515021459,0.858369098712446,30.0429184549356,0.429184549356223,0,0,0,0,0,66.9527896995708
1991,14.4781144781145,90.2356902356902,1.68350168350168,57.5757575757576,5.38720538720539,10.1010101010101,0,1.34680134680135,73.7373737373737,0,37.037037037037,0.336700336700337,0,0,0,0.336700336700337,0,91.9191919191919
1992,19,86,0,50,9,8,0,3,80,0,49,1,0,0,0,0,4,88
1993,44.2307692307692,93.2692307692308,0,79.8076923076923,10.5769230769231,9.61538461538462,6.73076923076923,2.88461538461538,77.8846153846154,0,26.9230769230769,0.961538461538462,0,0,0,0,0,80.7692307692308
1994,14.2857142857143,92.8571428571429,0,82.1428571428571,0,10.7142857142857,0,0,78.5714285714286,0,67.8571428571429,0,0,0,0,3.57142857142857,7.14285714285714,75
1995,25.9259259259259,96.2962962962963,3.7037037037037,100,7.40740740740741,29.6296296296296,0,0,62.962962962963,0,11.1111111111111,0,0,0,3.7037037037037,0,40.7407407407407,100
1996,35.7142857142857,100,7.14285714285714,50,0,71.4285714285714,0,0,71.4285714285714,0,21.4285714285714,7.14285714285714,7.14285714285714,7.14285714285714,0,7.14285714285714,28.5714285714286,100
1997,12.5,87.5,25,37.5,0,100,12.5,12.5,25,0,37.5,25,0,0,25,0,0,100
2001,25,50,0,75,0,75,0,0,25,0,0,0,0,0,0,0,0,100
