"Year","Country","Varroa","count","total","percent"
1988,"MEXICO","Unknown",239,239,100
1988,"USA","Unknown",65,65,100
1989,"MEXICO","Unknown",95,95,100
1989,"USA","Unknown",67,67,100
1990,"BELIZE","Unknown",12,12,100
1990,"MEXICO","Unknown",336,336,100
1990,"USA","Unknown",120,120,100
1991,"MEXICO","Unknown",452,452,100
1991,"USA","Unknown",276,276,100
1992,"MEXICO","Unknown",82,82,100
1992,"USA","NO",25,270,9.26
1992,"USA","YES",43,270,15.93
1992,"USA","Unknown",202,270,74.81
1993,"MEXICO","Unknown",57,57,100
1993,"USA","NO",13,175,7.43
1993,"USA","YES",5,175,2.86
1993,"USA","Unknown",157,175,89.71
1994,"MEXICO","Unknown",1,1,100
1994,"USA","NO",55,134,41.04
1994,"USA","YES",26,134,19.4
1994,"USA","Unknown",53,134,39.55
1995,"MEXICO","NO",27,75,36
1995,"MEXICO","YES",31,75,41.33
1995,"MEXICO","Unknown",17,75,22.67
1995,"USA","NO",22,57,38.6
1995,"USA","YES",22,57,38.6
1995,"USA","Unknown",13,57,22.81
1996,"MEXICO","NO",4,120,3.33
1996,"MEXICO","YES",18,120,15
1996,"MEXICO","Unknown",98,120,81.67
1996,"USA","NO",32,102,31.37
1996,"USA","YES",59,102,57.84
1996,"USA","Unknown",11,102,10.78
1997,"USA","Unknown",24,24,100
1998,"USA","Unknown",17,17,100
2000,"USA","Unknown",5,5,100
2001,"USA","Unknown",25,25,100
