"Year","State","Varroa","count","total","percent"
1988,"TAMAULIPAS","Unknown",239,239,100
1988,"TEXAS","Unknown",65,65,100
1989,"TAMAULIPAS","Unknown",95,95,100
1989,"TEXAS","Unknown",67,67,100
1990,"BELIZE","Unknown",12,12,100
1990,"CAMPECHE","Unknown",9,9,100
1990,"VERACRUZ","Unknown",86,86,100
1990,"QUINTANA ROO","Unknown",3,3,100
1990,"TAMAULIPAS","Unknown",238,238,100
1990,"TEXAS","Unknown",120,120,100
1991,"TAMAULIPAS","Unknown",452,452,100
1991,"TEXAS","Unknown",276,276,100
1992,"TAMAULIPAS","Unknown",82,82,100
1992,"TEXAS","NO",25,270,9.26
1992,"TEXAS","YES",43,270,15.93
1992,"TEXAS","Unknown",202,270,74.81
1993,"TAMAULIPAS","Unknown",57,57,100
1993,"TEXAS","NO",13,175,7.43
1993,"TEXAS","YES",5,175,2.86
1993,"TEXAS","Unknown",157,175,89.71
1994,"TAMAULIPAS","Unknown",1,1,100
1994,"TEXAS","NO",55,134,41.04
1994,"TEXAS","YES",26,134,19.4
1994,"TEXAS","Unknown",53,134,39.55
1995,"TAMAULIPAS","NO",27,75,36
1995,"TAMAULIPAS","YES",31,75,41.33
1995,"TAMAULIPAS","Unknown",17,75,22.67
1995,"TEXAS","NO",22,57,38.6
1995,"TEXAS","YES",22,57,38.6
1995,"TEXAS","Unknown",13,57,22.81
1996,"TAMAULIPAS","NO",4,120,3.33
1996,"TAMAULIPAS","YES",18,120,15
1996,"TAMAULIPAS","Unknown",98,120,81.67
1996,"TEXAS","NO",32,102,31.37
1996,"TEXAS","YES",59,102,57.84
1996,"TEXAS","Unknown",11,102,10.78
1997,"TEXAS","Unknown",24,24,100
1998,"TEXAS","Unknown",17,17,100
2000,"TEXAS","Unknown",5,5,100
2001,"TEXAS","Unknown",25,25,100
