SAMPLE_ID,Drone,Day,Mo,Year,City_original,State,Country,Location-new,Geocluster,Latitude,Longitude,Collector,Varroa,Other_obs,Weather,Beekeeper
3106,,11,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"APIARIO #4, ORANGE WALK, BELIZE, APIARY 1-MIXED[?]",NA,-1
3107,,11,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"APIARIO #4, ORANGE WALK, BELIZE, APIARY 1-MIXED[?]",NA,-1
3108,,11,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"APIARIO #5, ORANGE WALK, BELIZE 2, ABNORMAL BEHAVIOR ACCORDING TO RICHARD ADEE",NA,-1
3109,,11,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"APIARIO #5, ORANGE WALK, BELIZE 2, ABNORMAL BEHAVIOR ACCORDING TO RICHARD ADEE",NA,-1
3110,,12,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"APIARIO #6 APIARIO ABANDONADO, 7 MILLAS OESTE DE ORANGE WALK, BELIZE, DEFORMED PUPAE, 2 SAMPLES TAKEN",NA,ABANDONADO
3111,,12,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"SAME AS 3110, BUT NO DEFORMITY NOTED",NA,ABANDONADO
3112,,11,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"APIARIO #7, ABANDONADO, SAN LAZARO, 9 MILLAS OESTE DE ORANGE WALK",NA,ABANDONADO
3113,,11,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"APIARIO #8, 22 MILLAS OESTE DE ORANGE WALK, APIARIO ABANDONADO",NA,ABANDONADO
3114,,11,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR,JHZM",NA,"APIARIO #8, 22 MILLAS OESTE DE ORANGE WALK, APIARIO ABANDONADO",NA,ABANDONADO
3115,YES,11,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"APIARIO #9, SAN FELIPE, 25 MILLAS WEST ORANGE WALK, APIARIO REHABITADO CON AHB ???, MEANEST WE'VE SEEN",NA,-1
3116,,11,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"APIARIO #9, SAN FELIPE, 25 MILLAS WEST ORANGE WALK, APIARIO REHABITADO CON AHB ???, MEANEST WE'VE SEEN",NA,-1
3117,,11,11,1990,ORANGE WALK,BELIZE,BELIZE,Orange walk,BEL,18.089192,-88.572799,"WLR, JHZM",NA,"APIARIO #9, SAN FELIPE, 25 MILLAS WEST ORANGE WALK, APIARIO REHABITADO CON AHB ???, MEANEST WE'VE SEEN",NA,-1
5449,,23,6,1992,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,NA,NA,STATION 1 TRAP B = 10 DRONES IN DRY ICE. TRAP D = 10 DRONES IN DRY ICE. 3RD GEN. EGGS AND LARVE WORKER AND DRONES. STATION 2 TRAP N = EXPOSED COLONY. BIG SWARM. POSSIBLY JUST LANDED. LITTLE,NA,NA
5450,,23,6,1992,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,NA,NA,STATION 1 TRAP B = 10 DRONES IN DRY ICE. TRAP D = 10 DRONES IN DRY ICE. 3RD GEN. EGGS AND LARVE WORKER AND DRONES. STATION 2 TRAP N = EXPOSED COLONY. BIG SWARM. POSSIBLY JUST LANDED. LITTLE,NA,NA
5451,,23,6,1992,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,NA,NA,STATION 1 TRAP B = 10 DRONES IN DRY ICE. TRAP D = 10 DRONES IN DRY ICE. 3RD GEN. EGGS AND LARVE WORKER AND DRONES. STATION 2 TRAP N = EXPOSED COLONY. BIG SWARM. POSSIBLY JUST LANDED. LITTLE,NA,NA
5452,YES,23,6,1992,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,NA,NA,STATION 1 TRAP B = 10 DRONES IN DRY ICE. TRAP D = 10 DRONES IN DRY ICE. 3RD GEN. EGGS AND LARVE WORKER AND DRONES. STATION 2 TRAP N = EXPOSED COLONY. BIG SWARM. POSSIBLY JUST LANDED. LITTLE,NA,NA
5453_A,,23,6,1992,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,NA,NA,STATION 1 TRAP B = 10 DRONES IN DRY ICE. TRAP D = 10 DRONES IN DRY ICE. 3RD GEN. EGGS AND LARVE WORKER AND DRONES. STATION 2 TRAP N = EXPOSED COLONY. BIG SWARM. POSSIBLY JUST LANDED. LITTLE,NA,NA
5453_B,YES,23,6,1992,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,NA,NA,STATION 1 TRAP B = 10 DRONES IN DRY ICE. TRAP D = 10 DRONES IN DRY ICE. 3RD GEN. EGGS AND LARVE WORKER AND DRONES. STATION 2 TRAP N = EXPOSED COLONY. BIG SWARM. POSSIBLY JUST LANDED. LITTLE,NA,NA
5454,,23,6,1992,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,NA,NA,STATION 1 TRAP B = 10 DRONES IN DRY ICE. TRAP D = 10 DRONES IN DRY ICE. 3RD GEN. EGGS AND LARVE WORKER AND DRONES. STATION 2 TRAP N = EXPOSED COLONY. BIG SWARM. POSSIBLY JUST LANDED. LITTLE,NA,NA
5455,,23,6,1992,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,NA,NA,STATION 1 TRAP B = 10 DRONES IN DRY ICE. TRAP D = 10 DRONES IN DRY ICE. 3RD GEN. EGGS AND LARVE WORKER AND DRONES. STATION 2 TRAP N = EXPOSED COLONY. BIG SWARM. POSSIBLY JUST LANDED. LITTLE,NA,NA
5688_A,,1,5,1996,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,"ART, STEVE",YES,UNABLE TO FIND QUEEN; LOTS OF varroa IN FIELD CHECK. BURRTIO-BAGGIE,NA,NA
5688_B,,1,5,1996,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,"ART, STEVE",YES,UNABLE TO FIND QUEEN; LOTS OF varroa IN FIELD CHECK. BURRTIO-BAGGIE,NA,NA
5719,,14,6,1996,ABRAM,TEXAS,USA,Abram-perezville,BOR,26.218696,-98.412341,"ART, STEVE, ERICA",YES,varroa IN FIELD CHECK. BURRITO-BAGGIE,NA,NA
5043,,4,5,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"DEO, OSCAR, Y NOE",NA,NA,"MOSTLY SUNNY, HOT & BREEZY",BORDER TRAPLINE
6005,,6,5,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"WLR, OP, ET. AL",NA,"SITE-SANTA ANA NWR, NO DRONE BROOD",NA,BORDER TRAPLINE
6007,,6,5,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"WLR, OP, ET. AL",NA,"SITE-SANTA ANA NWR, 2+1 STINGS","MOSTLY SUNNY, HOT & HUMID",BORDER TRAPLINE
6008,,6,5,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"WLR, OP, ET. AL",NA,"SITE-SANTA ANA NWR, 2+1 STINGS","MOSTLY SUNNY, HOT & HUMID",BORDER TRAPLINE
6014,,7,7,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"OSCAR, LUIS",NA,"SITE-SANTA ANA NWR, 10+9 STINGS","HOT, HUMID, SUNNY",BORDER TRAPLINE
