"Year","Geocluster","Varroa","count","total","percent"
1988,"BOR","Unknown",9,9,100
1988,"TAM","Unknown",141,141,100
1989,"BOR","Unknown",6,6,100
1989,"TAM","Unknown",63,63,100
1990,"BOR","Unknown",14,14,100
1990,"TAM","Unknown",136,136,100
1990,"VER","Unknown",83,83,100
1991,"BOR","Unknown",24,24,100
1991,"TAM","Unknown",273,273,100
1992,"BOR","YES",4,16,25
1992,"BOR","Unknown",12,16,75
1992,"TAM","Unknown",64,64,100
1992,"WEL","NO",3,20,15
1992,"WEL","Unknown",17,20,85
1993,"BOR","NO",2,11,18.18
1993,"BOR","Unknown",9,11,81.82
1993,"TAM","Unknown",47,47,100
1993,"WEL","Unknown",46,46,100
1994,"BOR","NO",4,6,66.67
1994,"BOR","YES",1,6,16.67
1994,"BOR","Unknown",1,6,16.67
1994,"WEL","NO",8,22,36.36
1994,"WEL","YES",1,22,4.55
1994,"WEL","Unknown",13,22,59.09
1995,"TAM","NO",12,23,52.17
1995,"TAM","YES",9,23,39.13
1995,"TAM","Unknown",2,23,8.7
1995,"WEL","YES",2,4,50
1995,"WEL","Unknown",2,4,50
1996,"BOR","NO",2,2,100
1996,"TAM","Unknown",7,7,100
1996,"WEL","YES",4,5,80
1996,"WEL","Unknown",1,5,20
1997,"WEL","Unknown",8,8,100
2001,"WEL","Unknown",4,4,100
