# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
10	0.000000	0.000000
12	0.000000	0.000000
17	0.000000	0.000000
18	0.000000	0.000000
19	0.000000	0.000000
21	0.000000	0.000000
22	0.000000	0.000000
23	0.000000	0.000000
24	0.000000	0.000000
25	0.000000	0.000000
26	0.000000	0.000000
28	0.000000	0.000000
29	0.000000	0.000000
31	0.000000	0.000000
32	0.000000	0.000000
35	0.000000	0.000000
36	0.000000	0.000000
37	0.000000	0.000000
38	0.000000	0.000000
40	0.000000	0.000000
41	0.000000	0.000000
42	0.000000	0.000000
43	0.000000	0.000000
44	0.000000	0.000000
45	0.000000	0.000000
46	0.000000	0.000000
48	0.000000	0.000000
49	0.000000	0.000000
50	0.000000	0.000000
51	0.000000	0.000000
52	0.000000	0.000000
53	0.000000	0.000000
54	0.000000	0.000000
55	0.000000	0.000000
56	0.000000	0.000000
57	0.000000	0.000000
58	0.000000	0.000000
59	0.000000	0.000000
60	0.000000	0.000000
62	0.000000	0.000000
65	0.000000	0.000000
66	0.000000	0.000000
68	0.000000	0.000000
69	0.000000	0.000000
73	0.000000	0.000000
74	0.000000	0.000000
76	0.000000	0.000000
78	0.000000	0.000000
86	0.000000	0.000000
89	0.000000	0.000000
94	0.000000	0.000000
97	0.000000	0.000000
100	0.000000	0.000000
103	0.000000	0.000000
104	0.000000	0.000000
113	0.000000	0.000000
115	0.000000	0.000000
124	0.000000	0.000000
126	0.000000	0.000000
128	0.000000	0.000000
132	0.000000	0.000000
133	0.000000	0.000000
134	0.000000	0.000000
136	0.000000	0.000000
151	0.000000	0.000000
154	0.000000	0.000000
155	0.000000	0.000000
157	0.000000	0.000000
158	0.000000	0.000000
171	0.000000	0.000000
172	0.000000	0.000000
188	0.000000	0.000000
201	0.000000	0.000000
211	0.000000	0.000000
249	0.000000	0.000000
284	0.000000	0.000000
299	0.000000	0.000000
