STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/6,0,90,65
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/7,0,91,70
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/8,0,95,69
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/9,0,93,75
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/10,0,92,75
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/11,0,91,73
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/12,0.77,84,67
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/13,0,90,67
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/14,0,90,66
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/15,0,91,67
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/16,0,92,69
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/17,0,96,70
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/18,0,87,71
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/19,0,91,66
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/20,0,91,72
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/21,0,88,72
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/22,0,96,66
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/23,0,96,64
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/24,0,98,66
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/25,0,92,74
USW00012959,"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US",1988/5/26,0,91,68
