"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-07","0.00","100","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-08","0.00","96","71"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-09","0.00","95","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-10","0.02","100","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-11","0.00","98","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-12","0.00","95","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-13","0.00","91","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-14","0.05","95","71"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-15","0.42","86","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-16","0.00","87","60"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-17","0.00","93","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-18","0.37","91","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-19","0.00","91","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-20","0.00","91","59"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-21","0.00","100","59"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-22","0.00","91","60"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-23","0.00","93","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-24","0.80","93","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-25","0.48","86","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-26","0.09","89","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-27","0.00","93","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-28","0.00","89","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-29","0.00","93","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-06-30","0.00","96","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-01","0.00","95","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-02","0.00","91","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-03","0.00","93","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-04","0.18","95","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-05","0.00","89","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-06","0.00","91","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-07","0.00","93","60"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-08","0.00","91","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-09","0.00","91","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-10","0.00","95","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-11","0.00","91","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-12","0.33","86","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-13","0.00","87","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-14","0.00","91","60"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-15","0.00","89","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-16","0.00","91","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-17","0.00","95","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-18","0.00","96","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-19","0.00","95","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-20","0.00","95","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-21","0.00","93","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-22","0.00","95","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-23","0.00","89","60"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-24","0.14","87","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-25","0.00","82","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-26","0.00","82","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-27","0.44","89","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-28","0.00","87","60"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-29","0.00","91","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-30","0.00","91","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-07-31","0.00","93","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-01","0.00","93","71"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-02","0.00","89","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-03","0.00","89","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-04","0.00","89","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-05","0.00","87","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-06","0.21","89","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-07","1.55","86","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-08","0.12","80","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-09","0.09","78","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-10","0.00","87","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-11","0.00","89","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-12","0.15","91","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-13","0.00","91","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-14","0.07","89","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-15","0.00","87","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-16","0.00","87","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-17","0.00","91","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-18","0.15","87","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-19","0.00","87","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-20","0.00","91","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-21","0.00","91","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-22","0.00","86","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-23","0.29","87","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-24","0.00","86","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-25","0.00","86","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-26","0.00","93","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-27","0.00","91","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-28","0.00","89","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-29","0.00","95","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-30","0.00","93","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-08-31","0.00","93","60"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-01","0.00","96","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-02","0.00","96","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-03","0.00","95","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-04","0.50","93","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-05","0.05","82","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-06","0.60","86","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-07","0.00","86","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-08","0.00","89","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-09","0.00","89","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-10","0.00","87","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-11","0.00","91","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-12","0.00","91","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-13","0.00","91","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-14","0.00","91","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-15","0.00","89","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-16","0.00","87","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-17","0.00","82","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-18","0.94","91","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-19","0.00","80","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-20","0.00","86","59"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-21","0.07","89","64"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-22","0.00","84","66"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-23","0.00","78","57"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-24","0.00","80","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-25","0.00","82","46"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-26","0.00","82","44"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-27","0.00","80","44"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-28","0.00","82","46"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-29","0.00","84","46"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-09-30","0.00","89","46"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-01","0.00","91","44"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-02","0.00","91","48"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-03","0.00","91","50"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-04","0.00","89","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-05","0.00","93","59"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-06","0.00","95","60"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-07","0.00","91","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-08","0.00","84","68"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-09","0.00","82","53"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-10","0.00","84","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-11","0.00","86","46"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-12","0.00","87","42"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-13","0.00","89","41"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-14","0.00","93","48"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-15","0.00","93","53"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-16","0.00","91","51"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-17","0.61","87","50"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-18","0.00","86","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-19","0.00","77","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-20","0.00","71","37"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-21","0.00","77","37"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-22","0.00","82","44"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-23","0.00","82","48"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-24","0.00","84","51"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-25","0.00","82","53"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-26","0.00","82","59"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-27","0.00","82","57"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-28","0.00","82","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-29","0.00","84","60"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-30","0.00","84","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-10-31","0.00","80","62"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-01","0.00","82","60"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-02","0.00","71","57"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-03","0.00","75","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-04","0.00","82","51"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-05","0.00","84","48"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-06","0.00","87","50"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-07","0.00","87","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-08","0.00","89","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-09","0.00","91","53"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-10","0.00","80","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-11","0.00","82","57"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-12","0.00","82","53"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-13","0.00","80","53"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-14","0.00","91","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-15","0.00","89","57"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-16","0.00","78","55"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-17","0.09","69","48"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-18","0.00","71","42"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-19","0.00","71","48"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-20","0.00","82","57"
"MXN00028034","FRANCISCO ZORRILLA, MX","1989-11-21","0.00","75","50"
