"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"MXN00028045","LA ENCARNACION, MX","1988-03-22","0.00","74","55"
"MXN00028045","LA ENCARNACION, MX","1988-03-23","0.00","79","63"
"MXN00028045","LA ENCARNACION, MX","1988-03-24","0.00","89","66"
"MXN00028045","LA ENCARNACION, MX","1988-03-25","0.00","92","69"
"MXN00028045","LA ENCARNACION, MX","1988-03-26","0.00","89","68"
"MXN00028045","LA ENCARNACION, MX","1988-03-27","0.00","87","64"
"MXN00028045","LA ENCARNACION, MX","1988-03-28","0.00","88","69"
"MXN00028045","LA ENCARNACION, MX","1988-03-29","0.41","90","69"
"MXN00028045","LA ENCARNACION, MX","1988-03-30","0.00","76","55"
"MXN00028045","LA ENCARNACION, MX","1988-03-31","0.00","91","57"
"MXN00028045","LA ENCARNACION, MX","1988-04-01","0.00","94","66"
"MXN00028045","LA ENCARNACION, MX","1988-04-02","0.03","85","70"
"MXN00028045","LA ENCARNACION, MX","1988-04-03","0.00","87","66"
"MXN00028045","LA ENCARNACION, MX","1988-04-04","0.00","93","68"
"MXN00028045","LA ENCARNACION, MX","1988-04-05","0.00","93","68"
"MXN00028045","LA ENCARNACION, MX","1988-04-06","1.98","74","69"
