STATION,NAME,DATE,PRCP,TMAX,TMIN
MXN00028263,"LA PESCA, MX",1988/4/7,0.31,73,48
MXN00028263,"LA PESCA, MX",1988/4/8,0,78,46
MXN00028263,"LA PESCA, MX",1988/4/9,0.07,80,59
MXN00028263,"LA PESCA, MX",1988/4/10,0,75,60
MXN00028263,"LA PESCA, MX",1988/4/11,0,71,44
MXN00028263,"LA PESCA, MX",1988/4/12,0,78,44
MXN00028263,"LA PESCA, MX",1988/4/13,0,77,50
MXN00028263,"LA PESCA, MX",1988/4/14,0,82,49
MXN00028263,"LA PESCA, MX",1988/4/15,0,78,57
MXN00028263,"LA PESCA, MX",1988/4/16,0,79,57
MXN00028263,"LA PESCA, MX",1988/4/17,0,85,58
MXN00028263,"LA PESCA, MX",1988/4/18,0,86,60
MXN00028263,"LA PESCA, MX",1988/4/19,0,80,59
MXN00028263,"LA PESCA, MX",1988/4/20,0,82,57
MXN00028263,"LA PESCA, MX",1988/4/21,0,89,61
MXN00028263,"LA PESCA, MX",1988/4/22,0,93,67
MXN00028263,"LA PESCA, MX",1988/4/23,0,89,69
MXN00028263,"LA PESCA, MX",1988/4/24,0,89,65
MXN00028263,"LA PESCA, MX",1988/4/25,0,82,68
MXN00028263,"LA PESCA, MX",1988/4/26,0,80,53
MXN00028263,"LA PESCA, MX",1988/4/27,0,87,63
MXN00028263,"LA PESCA, MX",1988/4/28,0,93,68
MXN00028263,"LA PESCA, MX",1988/4/29,0,86,69
MXN00028263,"LA PESCA, MX",1988/4/30,0,84,67
MXN00028263,"LA PESCA, MX",1988/5/1,0,89,64
MXN00028263,"LA PESCA, MX",1988/5/2,0,86,64
MXN00028263,"LA PESCA, MX",1988/5/3,0,86,62
MXN00028263,"LA PESCA, MX",1988/5/4,0,82,60
MXN00028263,"LA PESCA, MX",1988/5/5,0,84,59
MXN00028263,"LA PESCA, MX",1988/5/6,0,84,60
MXN00028263,"LA PESCA, MX",1988/5/7,0,84,60
MXN00028263,"LA PESCA, MX",1988/5/8,0,85,62
MXN00028263,"LA PESCA, MX",1988/5/9,0,86,62
MXN00028263,"LA PESCA, MX",1988/5/10,0,86,64
MXN00028263,"LA PESCA, MX",1988/5/11,0.01,86,61
MXN00028263,"LA PESCA, MX",1988/5/12,0,86,60
MXN00028263,"LA PESCA, MX",1988/5/13,0,85,64
MXN00028263,"LA PESCA, MX",1988/5/14,0,84,68
MXN00028263,"LA PESCA, MX",1988/5/15,0,85,75
MXN00028263,"LA PESCA, MX",1988/5/16,0,86,75
MXN00028263,"LA PESCA, MX",1988/5/17,0,86,75
MXN00028263,"LA PESCA, MX",1988/5/18,0,86,77
MXN00028263,"LA PESCA, MX",1988/5/19,0,86,77
MXN00028263,"LA PESCA, MX",1988/5/20,0,86,76
MXN00028263,"LA PESCA, MX",1988/5/21,0,87,71
MXN00028263,"LA PESCA, MX",1988/5/22,0,89,71
MXN00028263,"LA PESCA, MX",1988/5/23,0,87,69
MXN00028263,"LA PESCA, MX",1988/5/24,0,86,75
MXN00028263,"LA PESCA, MX",1988/5/25,0,86,75
MXN00028263,"LA PESCA, MX",1988/5/26,0,86,73
MXN00028263,"LA PESCA, MX",1988/5/27,0,86,68
MXN00028263,"LA PESCA, MX",1988/5/28,0,87,70
MXN00028263,"LA PESCA, MX",1988/5/29,0,87,69
MXN00028263,"LA PESCA, MX",1988/5/30,0,87,73
MXN00028263,"LA PESCA, MX",1988/5/31,0,80,75
MXN00028263,"LA PESCA, MX",1988/6/1,0,87,75
MXN00028263,"LA PESCA, MX",1988/6/2,0,88,75
MXN00028263,"LA PESCA, MX",1988/6/3,0.03,87,78
MXN00028263,"LA PESCA, MX",1988/6/4,0,89,71
MXN00028263,"LA PESCA, MX",1988/6/5,0,88,71
MXN00028263,"LA PESCA, MX",1988/6/6,0,86,75
MXN00028263,"LA PESCA, MX",1988/6/7,0,86,75
MXN00028263,"LA PESCA, MX",1988/6/8,0,89,71
MXN00028263,"LA PESCA, MX",1988/6/9,0,89,68
MXN00028263,"LA PESCA, MX",1988/6/10,0,89,68
MXN00028263,"LA PESCA, MX",1988/6/11,0,88,73
MXN00028263,"LA PESCA, MX",1988/6/12,0,89,73
MXN00028263,"LA PESCA, MX",1988/6/13,0,89,72
MXN00028263,"LA PESCA, MX",1988/6/14,0.27,89,71
MXN00028263,"LA PESCA, MX",1988/6/15,0.11,78,77
MXN00028263,"LA PESCA, MX",1988/6/16,0,85,73
MXN00028263,"LA PESCA, MX",1988/6/17,0,86,74
MXN00028263,"LA PESCA, MX",1988/6/18,0.07,86,76
MXN00028263,"LA PESCA, MX",1988/6/19,0.23,86,73
MXN00028263,"LA PESCA, MX",1988/6/20,0,86,73
MXN00028263,"LA PESCA, MX",1988/6/21,0,87,73
MXN00028263,"LA PESCA, MX",1988/6/22,0,86,74
MXN00028263,"LA PESCA, MX",1988/6/23,0,87,73
MXN00028263,"LA PESCA, MX",1988/6/24,0,89,73
MXN00028263,"LA PESCA, MX",1988/6/25,0,87,75
MXN00028263,"LA PESCA, MX",1988/6/26,0,86,77
MXN00028263,"LA PESCA, MX",1988/6/27,0,89,78
MXN00028263,"LA PESCA, MX",1988/6/28,0,91,82
MXN00028263,"LA PESCA, MX",1988/6/29,0,93,84
MXN00028263,"LA PESCA, MX",1988/6/30,0,89,73
MXN00028263,"LA PESCA, MX",1988/7/1,0,89,77
MXN00028263,"LA PESCA, MX",1988/7/2,0,89,75
MXN00028263,"LA PESCA, MX",1988/7/3,0,91,75
MXN00028263,"LA PESCA, MX",1988/7/4,0,89,77
MXN00028263,"LA PESCA, MX",1988/7/5,0,91,73
MXN00028263,"LA PESCA, MX",1988/7/6,0,89,73
MXN00028263,"LA PESCA, MX",1988/7/7,0,89,75
MXN00028263,"LA PESCA, MX",1988/7/8,0,91,77
MXN00028263,"LA PESCA, MX",1988/7/9,0,91,77
MXN00028263,"LA PESCA, MX",1988/7/10,0,90,77
MXN00028263,"LA PESCA, MX",1988/7/11,0,91,75
MXN00028263,"LA PESCA, MX",1988/7/12,0,91,75
MXN00028263,"LA PESCA, MX",1988/7/13,0,91,78
MXN00028263,"LA PESCA, MX",1988/7/14,0.03,93,77
MXN00028263,"LA PESCA, MX",1988/7/15,0.03,86,78
MXN00028263,"LA PESCA, MX",1988/7/16,0,87,75
MXN00028263,"LA PESCA, MX",1988/7/17,0,89,75
MXN00028263,"LA PESCA, MX",1988/7/18,0,89,75
MXN00028263,"LA PESCA, MX",1988/7/19,0,89,75
MXN00028263,"LA PESCA, MX",1988/7/20,0,89,73
MXN00028263,"LA PESCA, MX",1988/7/21,0,89,73
MXN00028263,"LA PESCA, MX",1988/7/22,0,91,73
MXN00028263,"LA PESCA, MX",1988/7/23,0,89,75
MXN00028263,"LA PESCA, MX",1988/7/24,0,93,77
MXN00028263,"LA PESCA, MX",1988/7/25,0,89,79
MXN00028263,"LA PESCA, MX",1988/7/26,0,91,77
MXN00028263,"LA PESCA, MX",1988/7/27,0,91,77
MXN00028263,"LA PESCA, MX",1988/7/28,0,91,71
MXN00028263,"LA PESCA, MX",1988/7/29,0,89,71
MXN00028263,"LA PESCA, MX",1988/7/30,0,91,75
MXN00028263,"LA PESCA, MX",1988/7/31,0,92,73
MXN00028263,"LA PESCA, MX",1988/8/1,0,91,73
MXN00028263,"LA PESCA, MX",1988/8/2,0,91,73
MXN00028263,"LA PESCA, MX",1988/8/3,0,93,75
MXN00028263,"LA PESCA, MX",1988/8/4,0,93,77
MXN00028263,"LA PESCA, MX",1988/8/5,0,91,78
MXN00028263,"LA PESCA, MX",1988/8/6,0,93,77
