"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-16","0.00","79","71"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-17","0.78","79","63"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-18","0.40","82","63"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-19","0.00","81","71"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-20","0.08","78","59"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-21","0.00","78","58"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-22","0.00","77","70"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-23","0.00","80","71"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-24","0.00","80","74"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-25","0.01","79","67"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-26","0.00","79","61"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-27","0.00","81","58"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-28","0.00","80","62"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-29","0.00","83","71"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-04-30","0.00","79","62"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-01","0.00","80","69"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-02","0.00","80","71"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-03","0.00","80","70"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-04","1.78","77","68"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-05","0.00","79","68"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-06","0.00","82","64"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-07","0.00","76","62"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-08","0.00","73","55"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-09","0.00","75","67"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-10","0.00","80","71"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-11","0.00","80","74"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-12","0.00","85","75"
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","1992-05-13","0.00","82","74"
