"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00418354","SINTON, TX US","1992-03-19","0.00","88","56"
"USC00418354","SINTON, TX US","1992-03-20","0.00","82","48"
"USC00418354","SINTON, TX US","1992-03-21","0.00","70","50"
"USC00418354","SINTON, TX US","1992-03-22","0.00","72","66"
"USC00418354","SINTON, TX US","1992-03-23","0.00","83","45"
"USC00418354","SINTON, TX US","1992-03-24","0.00","70","46"
"USC00418354","SINTON, TX US","1992-03-25","0.00","71","51"
"USC00418354","SINTON, TX US","1992-03-26","0.00","83","60"
"USC00418354","SINTON, TX US","1992-03-27","0.00","76","61"
"USC00418354","SINTON, TX US","1992-03-28","1.37","59","72"
"USC00418354","SINTON, TX US","1992-03-29","2.80","71","62"
"USC00418354","SINTON, TX US","1992-03-30","0.00","79","59"
"USC00418354","SINTON, TX US","1992-03-31","0.00","76","53"
"USC00418354","SINTON, TX US","1992-04-01","0.00","70","54"
"USC00418354","SINTON, TX US","1992-04-02","0.04","72","49"
"USC00418354","SINTON, TX US","1992-04-03","0.76","51","46"
"USC00418354","SINTON, TX US","1992-04-04","0.02","60","46"
"USC00418354","SINTON, TX US","1992-04-05","0.12","67","46"
"USC00418354","SINTON, TX US","1992-04-06","0.06","72","46"
"USC00418354","SINTON, TX US","1992-04-07","0.00","79","57"
"USC00418354","SINTON, TX US","1992-04-08","0.00","82","60"
"USC00418354","SINTON, TX US","1992-04-09","0.00","77","63"
"USC00418354","SINTON, TX US","1992-04-10","0.00","76","63"
"USC00418354","SINTON, TX US","1992-04-11","0.00","77","64"
"USC00418354","SINTON, TX US","1992-04-12","0.00","80","63"
"USC00418354","SINTON, TX US","1992-04-13","0.00","83","65"
"USC00418354","SINTON, TX US","1992-04-14","0.00","82","61"
"USC00418354","SINTON, TX US","1992-04-15","0.00","80","60"
"USC00418354","SINTON, TX US","1992-04-16","0.00","80","65"
"USC00418354","SINTON, TX US","1992-04-17","0.00","81","70"
"USC00418354","SINTON, TX US","1992-04-18","1.29","79","59"
"USC00418354","SINTON, TX US","1992-04-19","0.00","82","62"
"USC00418354","SINTON, TX US","1992-04-20","0.00","82","60"
"USC00418354","SINTON, TX US","1992-04-21","0.00","77","56"
"USC00418354","SINTON, TX US","1992-04-22","0.00","80","56"
"USC00418354","SINTON, TX US","1992-04-23","0.00","81","66"
"USC00418354","SINTON, TX US","1992-04-24","0.00","84","68"
"USC00418354","SINTON, TX US","1992-04-25","0.00","85","65"
"USC00418354","SINTON, TX US","1992-04-26","0.51","70","62"
"USC00418354","SINTON, TX US","1992-04-27","0.00","69","61"
"USC00418354","SINTON, TX US","1992-04-28","0.00","82","59"
"USC00418354","SINTON, TX US","1992-04-29","0.00","81","59"
"USC00418354","SINTON, TX US","1992-04-30","0.00","87","60"
"USC00418354","SINTON, TX US","1992-05-01","0.00","82","60"
"USC00418354","SINTON, TX US","1992-05-02","0.00","81","70"
"USC00418354","SINTON, TX US","1992-05-03","0.00","80","67"
"USC00418354","SINTON, TX US","1992-05-04","0.00","81","66"
"USC00418354","SINTON, TX US","1992-05-05","0.00","80","64"
"USC00418354","SINTON, TX US","1992-05-06","0.00","83","62"
"USC00418354","SINTON, TX US","1992-05-07","0.00","85","53"
"USC00418354","SINTON, TX US","1992-05-08","0.00","76","51"
"USC00418354","SINTON, TX US","1992-05-09","0.00","75","53"
"USC00418354","SINTON, TX US","1992-05-10","0.00","78","64"
"USC00418354","SINTON, TX US","1992-05-11","0.00","81","64"
"USC00418354","SINTON, TX US","1992-05-12","0.00","85","74"
"USC00418354","SINTON, TX US","1992-05-13","0.00","89","73"
"USC00418354","SINTON, TX US","1992-05-14","0.00","87","71"
"USC00418354","SINTON, TX US","1992-05-15","3.70","86","65"
"USC00418354","SINTON, TX US","1992-05-16","0.03","79","66"
"USC00418354","SINTON, TX US","1992-05-17","1.14","83","65"
"USC00418354","SINTON, TX US","1992-05-18","0.55","74","67"
"USC00418354","SINTON, TX US","1992-05-19","0.03","80","69"
"USC00418354","SINTON, TX US","1992-05-20","0.00","82","71"
"USC00418354","SINTON, TX US","1992-05-21","0.21","84","71"
"USC00418354","SINTON, TX US","1992-05-22","0.00","84","71"
"USC00418354","SINTON, TX US","1992-05-23","0.06","82","69"
"USC00418354","SINTON, TX US","1992-05-24","0.00","84","67"
"USC00418354","SINTON, TX US","1992-05-25","0.00","85","68"
"USC00418354","SINTON, TX US","1992-05-26","0.00","84","71"
"USC00418354","SINTON, TX US","1992-05-27","0.00","85","67"
"USC00418354","SINTON, TX US","1992-05-28","0.00","82","66"
"USC00418354","SINTON, TX US","1992-05-29","0.58","85","61"
"USC00418354","SINTON, TX US","1992-05-30","0.00","71","61"
"USC00418354","SINTON, TX US","1992-05-31","0.39","75","65"
"USC00418354","SINTON, TX US","1992-06-01","4.00","75","65"
"USC00418354","SINTON, TX US","1992-06-02","0.10","85","67"
"USC00418354","SINTON, TX US","1992-06-03","0.00","81","64"
"USC00418354","SINTON, TX US","1992-06-04","0.00","88","67"
"USC00418354","SINTON, TX US","1992-06-05","0.00","87","74"
"USC00418354","SINTON, TX US","1992-06-06","0.00","89","76"
"USC00418354","SINTON, TX US","1992-06-07","0.26","86","73"
"USC00418354","SINTON, TX US","1992-06-08","0.40","82","70"
"USC00418354","SINTON, TX US","1992-06-09","0.00","87","73"
"USC00418354","SINTON, TX US","1992-06-10","0.18","88","70"
"USC00418354","SINTON, TX US","1992-06-11","0.00","89","72"
"USC00418354","SINTON, TX US","1992-06-12","0.00","92","75"
"USC00418354","SINTON, TX US","1992-06-13","0.00","90","75"
"USC00418354","SINTON, TX US","1992-06-14","0.00","89","78"
"USC00418354","SINTON, TX US","1992-06-15","0.00","89","79"
"USC00418354","SINTON, TX US","1992-06-16","0.00","90","78"
"USC00418354","SINTON, TX US","1992-06-17","0.00","89","76"
"USC00418354","SINTON, TX US","1992-06-18","0.00","89","74"
"USC00418354","SINTON, TX US","1992-06-19","0.00","90","74"
"USC00418354","SINTON, TX US","1992-06-20","0.00","90","75"
"USC00418354","SINTON, TX US","1992-06-21","0.00","91","71"
"USC00418354","SINTON, TX US","1992-06-22","0.00","92","70"
"USC00418354","SINTON, TX US","1992-06-23","0.00","92","73"
"USC00418354","SINTON, TX US","1992-06-24","0.00","92","74"
"USC00418354","SINTON, TX US","1992-06-25","0.00","93","75"
"USC00418354","SINTON, TX US","1992-06-26","0.00","93","75"
"USC00418354","SINTON, TX US","1992-06-27","0.00","90","74"
"USC00418354","SINTON, TX US","1992-06-28","0.00","91","75"
"USC00418354","SINTON, TX US","1992-06-29","0.00","91","72"
"USC00418354","SINTON, TX US","1992-06-30","0.00","97","78"
"USC00418354","SINTON, TX US","1992-07-01","0.00","95","80"
"USC00418354","SINTON, TX US","1992-07-02","0.00","92","80"
"USC00418354","SINTON, TX US","1992-07-03","0.00","93","79"
"USC00418354","SINTON, TX US","1992-07-04","0.00","92","73"
"USC00418354","SINTON, TX US","1992-07-05","0.00","92","75"
"USC00418354","SINTON, TX US","1992-07-06","0.00","92","76"
"USC00418354","SINTON, TX US","1992-07-07","0.00","91","76"
"USC00418354","SINTON, TX US","1992-07-08","0.00","91","76"
"USC00418354","SINTON, TX US","1992-07-09","0.00","91","76"
"USC00418354","SINTON, TX US","1992-07-10","0.00","91","78"
"USC00418354","SINTON, TX US","1992-07-11","0.00","91","76"
"USC00418354","SINTON, TX US","1992-07-12","0.00","91","79"
"USC00418354","SINTON, TX US","1992-07-13","0.00","91","76"
"USC00418354","SINTON, TX US","1992-07-14","0.00","91","76"
"USC00418354","SINTON, TX US","1992-07-15","0.00","92","78"
"USC00418354","SINTON, TX US","1992-07-16","0.00","92","77"
"USC00418354","SINTON, TX US","1992-07-17","0.00","92","79"
"USC00418354","SINTON, TX US","1992-07-18","0.00","91","76"
"USC00418354","SINTON, TX US","1992-07-19","0.00","91","76"
"USC00418354","SINTON, TX US","1992-07-20","0.05","87","73"
"USC00418354","SINTON, TX US","1992-07-21","0.44","82","75"
"USC00418354","SINTON, TX US","1992-07-22","0.31","89","73"
"USC00418354","SINTON, TX US","1992-07-23","0.00","91","76"
"USC00418354","SINTON, TX US","1992-07-24","0.00","91","76"
"USC00418354","SINTON, TX US","1992-07-25","0.00","92","76"
"USC00418354","SINTON, TX US","1992-07-26","0.00","92","77"
"USC00418354","SINTON, TX US","1992-07-27","0.00","92","75"
"USC00418354","SINTON, TX US","1992-07-28","0.00","93","76"
"USC00418354","SINTON, TX US","1992-07-29","0.00","92","76"
"USC00418354","SINTON, TX US","1992-07-30","0.00","92","78"
"USC00418354","SINTON, TX US","1992-07-31","0.00","93","77"
"USC00418354","SINTON, TX US","1992-08-01","0.00","93","73"
"USC00418354","SINTON, TX US","1992-08-02","0.00","94","76"
"USC00418354","SINTON, TX US","1992-08-03","0.00","93","75"
"USC00418354","SINTON, TX US","1992-08-04","0.00","94","75"
"USC00418354","SINTON, TX US","1992-08-05","0.00","94","75"
"USC00418354","SINTON, TX US","1992-08-06","0.00","93","75"
"USC00418354","SINTON, TX US","1992-08-07","0.00","93","78"
"USC00418354","SINTON, TX US","1992-08-08","0.00","93","77"
"USC00418354","SINTON, TX US","1992-08-09","0.00","94","75"
"USC00418354","SINTON, TX US","1992-08-10","0.00","95","76"
"USC00418354","SINTON, TX US","1992-08-11","0.00","95","75"
"USC00418354","SINTON, TX US","1992-08-12","0.00","98","75"
"USC00418354","SINTON, TX US","1992-08-13","0.03","92","74"
"USC00418354","SINTON, TX US","1992-08-14","0.47","86","74"
"USC00418354","SINTON, TX US","1992-08-15","0.00","91","72"
"USC00418354","SINTON, TX US","1992-08-16","0.21","93","72"
"USC00418354","SINTON, TX US","1992-08-17","0.57","85","66"
"USC00418354","SINTON, TX US","1992-08-18","0.00","88","64"
"USC00418354","SINTON, TX US","1992-08-19","0.00","90","64"
"USC00418354","SINTON, TX US","1992-08-20","0.00","92","67"
"USC00418354","SINTON, TX US","1992-08-21","0.00","90","70"
"USC00418354","SINTON, TX US","1992-08-22","0.00","90","70"
"USC00418354","SINTON, TX US","1992-08-23","0.00","90","71"
"USC00418354","SINTON, TX US","1992-08-24","0.00","90","75"
"USC00418354","SINTON, TX US","1992-08-25","0.00","91","74"
