"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00418354","SINTON, TX US","1992","45.91","78.9","61.1"
"USC00418354","SINTON, TX US","1993","40.16","79.0","60.1"
"USC00418354","SINTON, TX US","1994","32.33","80.1","61.5"
"USC00418354","SINTON, TX US","1995","35.52","80.1","60.7"
"USC00418354","SINTON, TX US","1996","17.13","80.6","61.1"
"USC00418354","SINTON, TX US","1997","50.42","79.0","60.3"
"USC00418354","SINTON, TX US","1998","38.94","81.5","63.6"
"USC00418354","SINTON, TX US","1999","33.01","82.1","61.6"
"USC00418354","SINTON, TX US","2000","19.93",,
"USC00418354","SINTON, TX US","2001",,,
