"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-19","0.00","88",
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-20","0.00","81","49"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-21","0.09","72","55"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-22","0.00","73","65"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-23","0.00","83","46"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-24","0.00","72","49"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-25","0.00","71","55"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-26","0.00","84","56"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-27","1.69","78","62"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-28","5.85","66","59"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-29","0.00",,
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-30","0.00",,
"USC00419559","WELDER W LIFE FOUND, TX US","1992-03-31","0.00",,
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-01","0.95",,
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-02","0.67","51","46"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-03","0.00","62","46"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-04","0.09","67","57"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-05","0.09","72","56"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-06","0.00","80","56"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-07","0.00","83","56"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-08","0.00","78","63"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-09","0.00","78","63"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-10","0.00","80","64"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-11","0.00","84","68"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-12","0.00","85","65"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-13","0.00","82","60"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-14","0.00","82","65"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-15","0.00","82","67"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-16","0.00","83","68"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-17","1.27","79","60"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-18","0.00","83","63"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-19","0.06","83","58"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-20","0.00","77","55"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-21","0.00","80","58"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-22","0.00","83","62"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-23","0.00","85","69"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-24","0.00","86",
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-25","2.35","70","62"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-26","0.00","77","54"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-27","0.00","82","57"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-28","0.00","80","61"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-29","0.00","87","61"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-04-30","0.00","83","64"
"USC00419559","WELDER W LIFE FOUND, TX US","1992-05-01","0.00","82","69"
