"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00419559","WELDER W LIFE FOUND, TX US","1992",,"80.0",
"USC00419559","WELDER W LIFE FOUND, TX US","1993",,,
"USC00419559","WELDER W LIFE FOUND, TX US","1994",,"81.1","62.0"
"USC00419559","WELDER W LIFE FOUND, TX US","1995",,,
"USC00419559","WELDER W LIFE FOUND, TX US","1996",,,"61.7"
"USC00419559","WELDER W LIFE FOUND, TX US","1997",,,
"USC00419559","WELDER W LIFE FOUND, TX US","1998","42.27",,
"USC00419559","WELDER W LIFE FOUND, TX US","1999","38.12",,
"USC00419559","WELDER W LIFE FOUND, TX US","2000","33.29",,
"USC00419559","WELDER W LIFE FOUND, TX US","2001","31.82",,
