"ID","Drone","Day","Mo","Year","City_original","State","Country","Location.new","Geocluster","Latitude","Longitude","Collector","Varroa","Other_obs","Weather","Beekeeper","PRCP","TMAX","TMIN"
"1002","",21,3,1988,"VICT-SLM","TAMAULIPAS","MEXICO","Aldama region","TAM",22.921855,-98.082063,"WTW,WLR,DLM,RR",NA,"NO COMB. NEW SWARM","OVERCAST","TRAPLINE",0,80,43
"1003","",21,3,1988,"VICT-SLM","TAMAULIPAS","MEXICO","Aldama region","TAM",22.921855,-98.082063,"WLR ET AL",NA,"MUCH COMB AT ENTRANCE HOLE","NUBLADO, BRISA DEL SUR","TRAPLINE",0,80,43
"1019","",22,3,1988,"SOTO/LA PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"BEES VERY MEAN & AGGRESIVE 7 SMALL COMBS, NO CAPPED BROOD A HUGE SWARM. COMBS LENGTHWISE FOUND DRONES","OVERCAST","TRAPLINE",0,82,NA
"2001","",22,3,1988,"NOMBRE DE DIOS","TAMAULIPAS","MEXICO","Nombre de dios","TAM",23.350675,-98.051063,"WLR, ISMAEL, DEO",NA,"RUSTICA- (TRABACOS) APICACO EN CONVERSION A MODERNAS-SOLO QUEDO UNA RUSTICA, AL LADO DE LA CASA DEN HUERTA DE CITRICOS A 1KM DE LAS CASA",NA,"SIMON VASQUEZ VILLARREAL",0,74,55
"2003","",22,3,1988,"NOMBRE DE DIOS","TAMAULIPAS","MEXICO","Nombre de dios","TAM",23.350675,-98.051063,"WLR, ISMAEL, DEO",NA,"MODERNA PERO PREOCEDNTE DE RUSTICA - ABEJAS SENIR CRIOBLAS",NA,"SIMON VASQUEZ VILLARREAL",0,74,55
"2004","",22,3,1988,"NOMBRE DE DIOS","TAMAULIPAS","MEXICO","Nombre de dios","TAM",23.350675,-98.051063,"WLR, ISMAEL, DEO",NA,"MODERNA",NA,"SIMON VASQUEZ VILLARREAL",0,74,55
"2005","",22,3,1988,"NOMBRE DE DIOS","TAMAULIPAS","MEXICO","Nombre de dios","TAM",23.350675,-98.051063,"WLR, ISMAEL, DEO",NA,"MODERNA",NA,"SIMON VASQUEZ VILLARREAL",0,74,55
"2006","",22,3,1988,"NOMBRE DE DIOS","TAMAULIPAS","MEXICO","Nombre de dios","TAM",23.350675,-98.051063,"DEO, ISMAEL, WCH",NA,"EN TRONCO DE PALMA, COLMENA SILVESTRE, 6KM AL ESTE DE SAN FELIPE",NA,"SIMON VASQUEZ VILLARREAL",0,74,55
"2009","",22,3,1988,"SAN FELIPE","TAMAULIPAS","MEXICO","Rancho San Felipe","TAM",23.40731,-98.107636,"WLR, ISMAEL, DEO",NA,"RUSTICA ABEJAS NEGRAS",NA,"GONZALO BERNAL MARES",0,74,55
"2011","",22,3,1988,"SAN FELIPE","TAMAULIPAS","MEXICO","Rancho San Felipe","TAM",23.40731,-98.107636,"WLR, ISMAEL, DEO",NA,"RUSTICA ABEJAS NEGRAS",NA,"GONZALO BERNAL MARES",0,74,55
"2012","",22,3,1988,"SAN FELIPE","TAMAULIPAS","MEXICO","Rancho San Felipe","TAM",23.40731,-98.107636,"WLR, ISMAEL, DEO",NA,"RUSTICA ABEJAS NEGRAS ENJAMBRE DEL MISMO APIARIO",NA,"GONZALO BERNAL MARES",0,74,55
"2013","",22,3,1988,"SAN FELIPE","TAMAULIPAS","MEXICO","Rancho San Felipe","TAM",23.40731,-98.107636,"WLR, ISMAEL, DEO",NA,"RUSTICA ABEJAS NEGRAS",NA,"GONZALO BERNAL MARES",0,74,55
"2014","",22,3,1988,"SAN FELIPE","TAMAULIPAS","MEXICO","Rancho San Felipe","TAM",23.40731,-98.107636,"WLR, ISMAEL, DEO",NA,"RUSTICA ABEJAS NEGRAS",NA,"GONZALO BERNAL MARES",0,74,55
"2016","",22,3,1988,"SAN FELIPE","TAMAULIPAS","MEXICO","Rancho San Felipe","TAM",23.40731,-98.107636,"WLR, ISMAEL, DEO",NA,"RUSTICA ABEJAS NEGRAS",NA,"GONZALO BERNAL MARES",0,74,55
"2017","",22,3,1988,"LAVADEROS","TAMAULIPAS","MEXICO","Lavaderos","TAM",23.4723,-98.01753,"WLR, ISMAEL, DEO",NA,"COLMENAS MODERNAS ABEJAS CRIOLLAS",NA,"JUAN GONZALES GARCIA",0,74,55
"2018","",22,3,1988,"LAVADEROS","TAMAULIPAS","MEXICO","Lavaderos","TAM",23.4723,-98.01753,"WLR, ISMAEL, DEO",NA,"COLMENAS MODERNAS ABEJAS CRIOLLAS",NA,"JUAN GONZALES GARCIA",0,74,55
"2019","",22,3,1988,"LAVADEROS","TAMAULIPAS","MEXICO","Lavaderos","TAM",23.4723,-98.01753,"WLR, ISMAEL, DEO",NA,"COLMENAS MODERNAS ABEJAS CRIOLLAS",NA,"JUAN GONZALES GARCIA",0,74,55
"2021","",22,3,1988,"SAN JOSE DE LAS RUSIA","TAMAULIPAS","MEXICO","Sierra de San Jose de Las Rusia","TAM",23.499912,-97.916637,"WLR, ISMAEL, DEO",NA,"COLMENAS MODERNAS KM 118",NA,"GONZALO ACUNA MENDIOLA",0,74,55
"2022","",22,3,1988,"SAN JOSE DE LAS RUSIA","TAMAULIPAS","MEXICO","Sierra de San Jose de Las Rusia","TAM",23.499912,-97.916637,"WLR, ISMAEL, DEO",NA,"COLMENAS MODERNAS KM 118",NA,"GONZALO ACUNA MENDIOLA",0,74,55
"2023","",22,3,1988,"SAN JOSE DE LAS RUSIA","TAMAULIPAS","MEXICO","Sierra de San Jose de Las Rusia","TAM",23.499912,-97.916637,"WLR, ISMAEL, DEO",NA,"COLMENAS MODERNAS KM 118",NA,"GONZALO ACUNA MENDIOLA",0,74,55
"2015_A","",22,3,1988,"SAN FELIPE","TAMAULIPAS","MEXICO","Rancho San Felipe","TAM",23.40731,-98.107636,"WLR, ISMAEL, DEO",NA,"RUSTICA ABEJAS NEGRAS",NA,"GONZALO BERNAL MARES",0,74,55
"2015_B","",22,3,1988,"SAN FELIPE","TAMAULIPAS","MEXICO","Rancho San Felipe","TAM",23.40731,-98.107636,"WLR, ISMAEL, DEO",NA,"RUSTICA ABEJAS NEGRAS",NA,"GONZALO BERNAL MARES",0,74,55
"1017","",23,3,1988,"SOTO/LA PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW",NA,"3 VERY SMALL DIAGNOLLY COMBS, NO BROOD","OVERCAST COOL AND HUMID","TRAPLINE",0,81,64
"1022","",23,3,1988,"SOTO/LA PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW",NA,"6 MEDIUM SIZE COMBS DIAGNAL A LITTLE BROOD WITH 3 OR 4 SEALED CELLS","OVERCAST","TRAPLINE",0,81,64
"1024","",23,3,1988,"SOTO/LA PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"6 HANGING COMBS, 4 FALLEN, NO BROOD VISIBLE-DIAGONAL COMBS","OVERCAST","TRAPLINE",0,81,64
"1025","",23,3,1988,"VICT-SLM","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW ET AL",NA,"2 SMALL COMBS BOTTOM, BROKEN, 2 ON TOP (ATTACHED) COMB LONGITUDINAL, HONEY BUT NO BROOD, LITTLE POLLEN","OVERCAST SLIGHTLY","TRAPLINE",0,81,64
"1027","",23,3,1988,"VICT-SLM","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW ET AL",NA,"REINA CONGELADA MUCH CAPPED BROOD 6 MED. COMBS, DIAGONAL W/HONEY AND CAPPED BROOD","UN POCO NUBLADO, BRISA DEL ESTE","TRAPLINE",0,81,64
"1028","",23,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"MANY DRONES. 8 LARGE COMBS W/FRESH NECTAR 2ND COMB MEASUREMENT GAVE 5.4 CM/10 CELLS","OVERCAST","TRAPLINE",0,81,64
"1029","",23,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"ENJAMBRE INCEPIENTE","OVERCAST","TRAPLINE",0,81,64
"1031","",23,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"8 LARGE COMBS-QUEEN PREREVEED BROOD, CAPPED HONEY, PLENTIFUL, DRONE CELLS","OVERCAST","TRAPLINE",0,81,64
"1032","",23,3,1988,"VICT-SLM","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"QUEEN NOT SEEN 3 COMBS TRAP HAD FALLEN TO GROUND AND REHUNG. ONE FELL AGAIN AND REHUNG SOME COMB WAS ON THE GROUND AND NOT COUNTED IN THE TOTAL OF 1037(??)","OVERCAST","TRAPLINE",0,81,64
"1033","",23,3,1988,"VICT-SLM","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"QUEEN TOO. 6 LARGE, 1 SMALL COMB, BROOD, CAPPED HONEY COMBS ATTACHED TO TRAP COVER","OVERCAST BREEZY","TRAPLINE",0,81,64
"1034","",23,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"5 MED. SIZE COMBS","OVERCAST BREEZY","TRAPLINE",0,81,64
