SAMPLE_ID,Drone,Day,Mo,Year,City_original,State,Country,Location-new,Geocluster,Latitude,Longitude,Collector,Varroa,Other_obs,Weather,Beekeeper
6008,,6,5,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"WLR, OP, ET. AL",NA,"SITE-SANTA ANA NWR, 2+1 STINGS","MOSTLY SUNNY, HOT & HUMID",BORDER TRAPLINE
6014,,7,7,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"OSCAR, LUIS",NA,"SITE-SANTA ANA NWR, 10+9 STINGS","HOT, HUMID, SUNNY",BORDER TRAPLINE
6018,,7,7,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"OSCAR, LUIS",NA,"SITE-SANTA ANA NWR, 8+3 STINGS","HOT, HUMID, SUNNY",BORDER TRAPLINE
6019,,7,7,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"OSCAR, LUIS",NA,"SITE-SANTA ANA NWR, 5+1 STINGS","HOT, HUMID, SUNNY",BORDER TRAPLINE
6020,,7,7,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"OSCAR, LUIS",NA,"SITE-SANTA ANA NWR, 0+0 STINGS","HOT, HUMID, SUNNY",BORDER TRAPLINE
6022,,3,8,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,OSCAR,NA,"SITE-SANTA ANNA NWR, SMALL SWARM","HOT, HUMID, CLOUDY",BORDER TRAPLINE
6030,,7,11,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EVAN SUGDEN, STEVE ACEVEDO, DALE MAKI",NA,SITE-SANTA ANA NWR,"SUNNY, WARM, BREEZY",BORDER TRAPLINE
6031,,7,11,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EVAN SUGDEN, STEVE ACEVEDO, DALE MAKI",NA,SITE-SANTA ANA NWR,"SUNNY, WARM, BREEZY",BORDER TRAPLINE
6032,,7,11,1988,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EVAN SUGDEN, STEVE ACEVEDO, DALE MAKI",NA,SITE-SANTA ANA NWR,"SUNNY, WARM, BREEZY",BORDER TRAPLINE
5103,,16,5,1989,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EVAN,ROY",NA,SITE-SANTA ANA NWR #3,CLOUDY HOT AND HUMID,BORDER TRAPLINE
5107,,16,5,1989,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EVAN,ROY",NA,"SITE-SANTA ANA NWR #4,LARGE COLONY W/OUTSIDE COMBS DROPED IN REMOVING MOST SAMPLES LOST",CLOUDY HOT AND HUMID,BORDER TRAPLINE
5110,,16,5,1989,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EVAN,ROY",NA,"SITE-SANTA ANA NWR #4, COMB DAMAGED",CLOUDY HOT AND HUMID,BORDER TRAPLINE
