target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9852.17	0	0
DWV-C	10149	9861.17	0	0
NC_009025.1	9499	9211.17	0	0
NC_004807.1	9524	9236.17	0	0
NC_010711.1	3674	3386.17	0	0
NC_002548.1	9491	9203.17	0	0
NC_014137.1	9505	9217.17	0	0
NC_032433.1	5991	5703.17	1	0.0179954
NC_003784.1	8550	8262.17	0	0
NC_002066.1	8832	8544.17	0	0
NC_006494.1	10112	9824.17	0	0
NC_040601.1	9552	9264.17	0	0
KX578272.1	4146	3858.17	0	0
NC_027631.1	6258	5970.17	0	0
NC_035071.1	20414	20126.2	0	0
KY354240.1	10091	9803.17	0	0
KY354234.1	14001	13713.2	0	0
KR819915.1	496396	496108	10	0.00206872
MG571088.1	1811	1523.17	0	0
MG571087.1	2194	1906.17	0	0
NC_027619.1	6169	5881.17	0	0
MK032464.1	8332	8044.17	0	0
MK032465.1	2198	1910.17	0	0
MK032466.1	1899	1611.17	0	0
MK032467.1	1983	1695.17	0	0
MK032468.1	1708	1420.17	0	0
MK032469.1	1442	1154.17	0	0
MK032470.1	951	663.851	0	0
gene-BBC0122_RS00005	822	536.625	0	0
gene-BBC0122_RS00010	597	328.127	0	0
gene-BBC0122_RS00015	858	572.126	0	0
gene-BBC0122_RS00020	588	319.804	0	0
gene-BBC0122_RS00025	702	422.795	0	0
gene-BBC0122_RS00030	2949	2661.17	0	0
gene-BBC0122_RS00035	579	312.13	0	0
gene-BBC0122_RS00040	198	54.5782	0	0
gene-BBC0122_RS00045	1221	933.167	0	0
gene-BBC0122_RS00050	642	368.013	0	0
gene-BBC0122_RS00055	687	408.892	0	0
gene-BBC0122_RS00060	540	279.401	0	0
gene-BBC0122_RS00065	1008	720.167	0	0
gene-BBC0122_RS00070	873	586.776	0	0
gene-BBC0122_RS00075	561	296.598	0	0
gene-BBC0122_RS00080	948	660.851	0	0
gene-BBC0122_RS00085	498	246.044	0	0
gene-BBC0122_RS00090	705	425.58	0	0
gene-BBC0122_RS00095	1401	1113.17	0	0
gene-BBC0122_RS00100	189	48.8608	0	0
gene-BBC0122_RS00105	1275	987.167	0	0
gene-BBC0122_RS00110	2439	2151.17	0	0
gene-BBC0122_RS00115	384	164.339	0	0
gene-BBC0122_RS00120	243	79.0512	0	0
gene-BBC0122_RS00125	972	684.445	0	0
gene-BBC0122_RS00130	300	112.241	0	0
gene-BBC0122_RS00135	288	105.453	0	0
gene-BBC0122_RS00140	1458	1170.17	0	0
gene-BBC0122_RS00145	1161	873.167	0	0
gene-BBC0122_RS00150	558	294.162	0	0
gene-BBC0122_RS00155	957	669.784	0	0
gene-BBC0122_RS00160	261	90.4332	0	0
gene-BBC0122_RS00165	768	484.687	0	0
gene-BBC0122_RS00170	456	214.596	0	0
gene-BBC0122_RS00175	684	406.1	0	0
gene-BBC0122_RS00180	645	370.823	0	0
gene-BBC0122_RS00185	957	669.784	0	0
gene-BBC0122_RS00190	939	652.048	0	0
gene-BBC0122_RS00195	393	170.545	0	0
gene-BBC0122_RS00200	603	333.231	0	0
gene-BBC0122_RS00205	1116	828.167	0	0
gene-BBC0122_RS00210	1368	1080.17	0	0
gene-BBC0122_RS00215	696	417.009	0	0
gene-BBC0122_RS00220	954	666.851	0	0
gene-BBC0122_RS00225	768	484.687	0	0
gene-BBC0122_RS00230	786	502.14	0	0
gene-BBC0122_RS00235	1071	783.167	0	0
gene-BBC0122_RS00240	1071	783.167	0	0
gene-BBC0122_RS00245	720	439.614	0	0
gene-BBC0122_RS00250	645	370.823	0	0
gene-BBC0122_RS00255	1161	873.167	0	0
gene-BBC0122_RS00260	987	699.237	0	0
gene-BBC0122_RS00265	1254	966.167	0	0
gene-BBC0122_RS00270	996	708.167	0	0
gene-BBC0122_RS00275	768	484.687	0	0
gene-BBC0122_RS00280	408	180.664	0	0
gene-BBC0122_RS00290	1419	1131.17	0	0
gene-BBC0122_RS00300	990	702.167	0	0
gene-BBC0122_RS00305	891	604.48	0	0
gene-BBC0122_RS00310	906	619.175	0	0
gene-BBC0122_RS00315	687	408.892	0	0
gene-BBC0122_RS00320	912	625.112	0	0
gene-BBC0122_RS00325	1806	1518.17	0	0
gene-BBC0122_RS00335	849	563.297	0	0
gene-BBC0122_RS00340	843	557.297	0	0
gene-BBC0122_RS00350	306	115.302	0	0
gene-BBC0122_RS00355	1923	1635.17	0	0
gene-BBC0122_RS00360	1164	876.167	0	0
gene-BBC0122_RS00365	1188	900.167	0	0
gene-BBC0122_RS00370	1305	1017.17	0	0
gene-BBC0122_RS00375	1185	897.167	0	0
gene-BBC0122_RS00380	1164	876.167	0	0
gene-BBC0122_RS00390	1170	882.167	0	0
gene-BBC0122_RS00395	711	431.189	0	0
gene-BBC0122_RS00400	363	149.702	0	0
gene-BBC0122_RS00405	678	400.428	0	0
gene-BBC0122_RS00410	765	481.785	0	0
gene-BBC0122_RS00415	774	490.59	0	0
gene-BBC0122_RS00420	537	276.85	0	0
gene-BBC0122_RS00425	1452	1164.17	0	0
gene-BBC0122_RS00430	912	625.112	0	0
gene-BBC0122_RS00435	1824	1536.17	0	0
gene-BBC0122_RS00440	1014	726.167	0	0
gene-BBC0122_RS00445	963	675.717	0	0
gene-BBC0122_RS00450	1323	1035.17	0	0
gene-BBC0122_RS00455	351	142.023	0	0
gene-BBC0122_RS00460	855	569.183	0	0
gene-BBC0122_RS00465	1392	1104.17	0	0
gene-BBC0122_RS00470	996	708.167	0	0
gene-BBC0122_RS00475	324	125.902	0	0
gene-BBC0122_RS00480	795	510.834	0	0
gene-BBC0122_RS00485	759	476.074	0	0
gene-BBC0122_RS00490	651	376.364	0	0
gene-BBC0122_RS00495	597	328.127	0	0
gene-BBC0122_RS00500	1008	720.167	0	0
gene-BBC0122_RS00505	558	294.162	0	0
gene-BBC0122_RS00510	1311	1023.17	0	0
gene-BBC0122_RS00515	1017	729.167	0	0
gene-BBC0122_RS00520	882	595.54	0	0
gene-BBC0122_RS00525	825	539.571	0	0
gene-BBC0122_RS00530	744	461.879	0	0
gene-BBC0122_RS00540	489	239.29	0	0
gene-BBC0122_RS00545	852	566.24	0	0
gene-BBC0122_RS00550	1122	834.167	0	0
gene-BBC0122_RS00555	336	132.11	0	0
gene-BBC0122_RS00560	282	102.174	0	0
gene-BBC0122_RS00565	648	373.441	0	0
gene-BBC0122_RS00570	594	325.264	0	0
gene-BBC0122_RS00575	783	499.292	0	0
gene-BBC0122_RS00585	1548	1260.17	0	0
gene-BBC0122_RS00590	585	317.138	0	0
gene-BBC0122_RS00595	468	223.24	0	0
gene-BBC0122_RS00600	429	195.319	0	0
gene-BBC0122_RS00605	432	197.28	0	0
gene-BBC0122_RS00610	1230	942.167	0	0
gene-BBC0122_RS00615	498	246.044	0	0
gene-BBC0122_RS00620	390	168.461	0	0
gene-BBC0122_RS00625	822	536.625	0	0
gene-BBC0122_RS00630	1599	1311.17	0	0
gene-BBC0122_RS00635	3201	2913.17	0	0
gene-BBC0122_RS00640	1533	1245.17	0	0
gene-BBC0122_RS00645	1944	1656.17	0	0
gene-BBC0122_RS00650	4695	4407.17	0	0
gene-BBC0122_RS00655	555	291.66	0	0
gene-BBC0122_RS12735	69	36.64	0	0
gene-BBC0122_RS00660	972	684.445	0	0
gene-BBC0122_RS00665	924	637.112	0	0
gene-BBC0122_RS00670	942	654.983	0	0
gene-BBC0122_RS00680	1020	732.167	0	0
gene-BBC0122_RS00685	1401	1113.17	0	0
gene-BBC0122_RS00690	2484	2196.17	0	0
gene-BBC0122_RS00695	1488	1200.17	0	0
gene-BBC0122_RS00700	720	439.614	0	0
gene-BBC0122_RS00705	3087	2799.17	0	0
gene-BBC0122_RS00710	3483	3195.17	0	0
gene-BBC0122_RS00715	324	125.902	0	0
gene-BBC0122_RS00720	339	133.843	0	0
gene-BBC0122_RS00725	1584	1296.17	0	0
gene-BBC0122_RS00730	1665	1377.17	0	0
gene-BBC0122_RS00735	492	241.618	0	0
gene-BBC0122_RS00740	588	319.804	0	0
gene-BBC0122_RS00745	237	75.526	0	0
gene-BBC0122_RS00750	366	151.845	0	0
gene-BBC0122_RS00755	540	279.401	0	0
gene-BBC0122_RS00760	612	340.971	0	0
gene-BBC0122_RS00770	537	276.85	0	0
gene-BBC0122_RS00775	438	201.328	0	0
gene-BBC0122_RS00780	1596	1308.17	0	0
gene-BBC0122_RS00785	723	442.57	0	0
gene-BBC0122_RS00790	1788	1500.17	0	0
gene-BBC0122_RS00795	468	223.24	0	0
gene-BBC0122_RS00800	408	180.664	0	0
gene-BBC0122_RS00805	279	100.557	0	0
gene-BBC0122_RS00815	624	351.646	0	0
gene-BBC0122_RS00820	1020	732.167	0	0
gene-BBC0122_RS00825	870	583.952	0	0
gene-BBC0122_RS00830	933	646.048	0	0
gene-BBC0122_RS00845	744	461.879	0	0
gene-BBC0122_RS00850	930	643.048	0	0
gene-BBC0122_RS00855	531	272.064	0	0
gene-BBC0122_RS00860	1191	903.167	0	0
gene-BBC0122_RS00865	1467	1179.17	0	0
gene-BBC0122_RS00870	987	699.237	0	0
gene-BBC0122_RS00875	588	319.804	0	0
gene-BBC0122_RS00880	618	346.151	0	0
gene-BBC0122_RS00885	921	634.112	0	0
gene-BBC0122_RS00890	585	317.138	0	0
gene-BBC0122_RS00895	591	322.603	0	0
gene-BBC0122_RS00900	369	154.145	0	0
gene-BBC0122_RS00905	1371	1083.17	0	0
gene-BBC0122_RS00910	1359	1071.17	0	0
gene-BBC0122_RS00915	486	236.878	0	0
gene-BBC0122_RS00920	462	218.941	0	0
gene-BBC0122_RS00925	249	82.9339	0	0
gene-BBC0122_RS00930	429	195.319	0	0
gene-BBC0122_RS00935	741	459.112	0	0
gene-BBC0122_RS00940	1053	765.167	0	0
gene-BBC0122_RS00945	204	58.0972	0	0
gene-BBC0122_RS00950	402	176.459	0	0
gene-BBC0122_RS00955	822	536.625	0	0
gene-BBC0122_RS00960	1086	798.167	0	0
gene-BBC0122_RS00965	2415	2127.17	0	0
gene-BBC0122_RS00970	1503	1215.17	0	0
gene-BBC0122_RS00975	762	478.882	0	0
gene-BBC0122_RS00980	1509	1221.17	0	0
gene-BBC0122_RS00985	282	102.174	0	0
gene-BBC0122_RS00990	1020	732.167	0	0
gene-BBC0122_RS00995	1320	1032.17	0	0
gene-BBC0122_RS01000	897	610.298	0	0
gene-BBC0122_RS01005	831	545.462	0	0
gene-BBC0122_RS01010	1167	879.167	0	0
gene-BBC0122_RS01015	651	376.364	0	0
gene-BBC0122_RS01020	714	433.969	0	0
gene-BBC0122_RS01025	1005	717.167	0	0
gene-BBC0122_RS01035	1299	1011.17	0	0
gene-BBC0122_RS01040	1380	1092.17	0	0
gene-BBC0122_RS01045	1254	966.167	0	0
gene-BBC0122_RS01050	1581	1293.17	0	0
gene-BBC0122_RS01055	783	499.292	0	0
gene-BBC0122_RS01060	627	354.281	0	0
gene-BBC0122_RS01065	273	97.3976	0	0
gene-BBC0122_RS01070	519	262.586	0	0
gene-BBC0122_RS01075	921	634.112	0	0
gene-BBC0122_RS01080	822	536.625	0	0
gene-BBC0122_RS01085	852	566.24	0	0
gene-BBC0122_RS01090	909	622.175	0	0
gene-BBC0122_RS01095	777	493.441	0	0
gene-BBC0122_RS01100	312	118.469	0	0
gene-BBC0122_RS01105	621	348.899	0	0
gene-BBC0122_RS01110	384	164.339	0	0
gene-BBC0122_RS01115	393	170.545	0	0
gene-BBC0122_RS01120	573	306.879	0	0
gene-BBC0122_RS01125	1461	1173.17	0	0
gene-BBC0122_RS01130	888	601.48	0	0
gene-BBC0122_RS01135	360	147.797	0	0
gene-BBC0122_RS01140	771	487.59	0	0
gene-BBC0122_RS01145	2550	2262.17	0	0
gene-BBC0122_RS01150	690	411.599	0	0
gene-BBC0122_RS01155	720	439.614	0	0
gene-BBC0122_RS01160	504	250.834	0	0
gene-BBC0122_RS01165	561	296.598	0	0
gene-BBC0122_RS01170	1302	1014.17	0	0
gene-BBC0122_RS01175	2484	2196.17	0	0
gene-BBC0122_RS01180	345	138.077	0	0
gene-BBC0122_RS01190	2430	2142.17	0	0
gene-BBC0122_RS01200	1305	1017.17	0	0
gene-BBC0122_RS01205	8595	8307.17	0	0
gene-BBC0122_RS01210	2295	2007.17	0	0
gene-BBC0122_RS01215	2712	2424.17	0	0
gene-BBC0122_RS01220	1173	885.167	0	0
gene-BBC0122_RS01225	1596	1308.17	0	0
gene-BBC0122_RS01230	1839	1551.17	0	0
gene-BBC0122_RS01235	636	362.541	0	0
gene-BBC0122_RS01240	966	678.581	0	0
gene-BBC0122_RS01245	1449	1161.17	0	0
gene-BBC0122_RS01255	402	176.459	0	0
gene-BBC0122_RS01260	1329	1041.17	0	0
gene-BBC0122_RS01265	648	373.441	0	0
gene-BBC0122_RS01270	1701	1413.17	0	0
gene-BBC0122_RS01275	480	232.118	0	0
gene-BBC0122_RS01280	522	264.983	0	0
gene-BBC0122_RS01285	690	411.599	0	0
gene-BBC0122_RS01290	558	294.162	0	0
gene-BBC0122_RS01295	966	678.581	0	0
gene-BBC0122_RS01300	2073	1785.17	0	0
gene-BBC0122_RS01310	1026	738.167	0	0
gene-BBC0122_RS01315	924	637.112	0	0
gene-BBC0122_RS01320	1200	912.167	0	0
gene-BBC0122_RS01330	564	299.25	0	0
gene-BBC0122_RS01335	1215	927.167	0	0
gene-BBC0122_RS01340	612	340.971	0	0
gene-BBC0122_RS01345	1101	813.167	0	0
gene-BBC0122_RS01350	1476	1188.17	0	0
gene-BBC0122_RS01360	606	335.674	0	0
gene-BBC0122_RS01365	216	64.7385	0	0
gene-BBC0122_RS01370	771	487.59	0	0
gene-BBC0122_RS01375	666	389.754	0	0
gene-BBC0122_RS01380	624	351.646	0	0
gene-BBC0122_RS01385	2694	2406.17	0	0
gene-BBC0122_RS01390	267	94.0138	0	0
gene-BBC0122_RS01400	1500	1212.17	0	0
gene-BBC0122_RS01405	1119	831.167	0	0
gene-BBC0122_RS01410	1308	1020.17	0	0
gene-BBC0122_RS01415	438	201.328	0	0
gene-BBC0122_RS01425	981	693.376	0	0
gene-BBC0122_RS01430	2019	1731.17	0	0
gene-BBC0122_RS01435	690	411.599	0	0
gene-BBC0122_RS01440	435	199.354	0	0
gene-BBC0122_RS01450	489	239.29	0	0
gene-BBC0122_RS01455	669	392.075	0	0
gene-BBC0122_RS01460	495	243.833	0	0
gene-BBC0122_RS01465	1365	1077.17	0	0
gene-BBC0122_RS01470	1080	792.167	0	0
gene-BBC0122_RS01475	474	227.521	0	0
gene-BBC0122_RS01480	1007	719.167	0	0
gene-BBC0122_RS01485	1611	1323.17	0	0
gene-BBC0122_RS01490	414	184.937	0	0
gene-BBC0122_RS01495	1266	978.167	0	0
gene-BBC0122_RS01500	717	436.837	0	0
gene-BBC0122_RS01505	699	419.966	0	0
gene-BBC0122_RS01510	1632	1344.17	0	0
gene-BBC0122_RS01515	634	360.616	0	0
gene-BBC0122_RS01520	2649	2361.17	0	0
gene-BBC0122_RS01525	399	174.501	0	0
gene-BBC0122_RS01530	963	675.717	0	0
gene-BBC0122_RS01535	1632	1344.17	0	0
gene-BBC0122_RS01540	270	95.5737	0	0
gene-BBC0122_RS01545	2295	2007.17	0	0
gene-BBC0122_RS01555	1002	714.167	0	0
gene-BBC0122_RS01560	819	533.625	0	0
gene-BBC0122_RS01565	1221	933.167	0	0
gene-BBC0122_RS01570	510	255.717	0	0
gene-BBC0122_RS01575	429	195.319	0	0
gene-BBC0122_RS01580	978	690.376	0	0
gene-BBC0122_RS01585	1245	957.167	0	0
gene-BBC0122_RS01590	606	335.674	0	0
gene-BBC0122_RS01595	324	125.902	0	0
gene-BBC0122_RS01600	2001	1713.17	0	0
gene-BBC0122_RS01610	411	182.872	0	0
gene-BBC0122_RS01615	915	628.112	0	0
gene-BBC0122_RS01620	861	575.126	0	0
gene-BBC0122_RS01625	741	459.112	0	0
gene-BBC0122_RS01630	546	284.195	0	0
gene-BBC0122_RS01635	1824	1536.17	0	0
gene-BBC0122_RS01640	1107	819.167	0	0
gene-BBC0122_RS01645	1161	873.167	0	0
gene-BBC0122_RS01650	1626	1338.17	0	0
gene-BBC0122_RS01655	234	73.9319	0	0
gene-BBC0122_RS01660	768	484.687	0	0
gene-BBC0122_RS01665	939	652.048	0	0
gene-BBC0122_RS01670	1050	762.167	0	0
gene-BBC0122_RS01675	1485	1197.17	0	0
gene-BBC0122_RS01680	1293	1005.17	0	0
gene-BBC0122_RS01685	759	476.074	0	0
gene-BBC0122_RS01690	723	442.57	0	0
gene-BBC0122_RS01700	1032	744.167	0	0
gene-BBC0122_RS01705	2370	2082.17	0	0
gene-BBC0122_RS01715	1095	807.167	0	0
gene-BBC0122_RS01720	1194	906.167	0	0
gene-BBC0122_RS01725	1866	1578.17	0	0
gene-BBC0122_RS01730	240	77.1349	0	0
gene-BBC0122_RS01735	1023	735.167	0	0
gene-BBC0122_RS01740	1323	1035.17	0	0
gene-BBC0122_RS01745	756	473.314	0	0
gene-BBC0122_RS01750	246	80.989	0	0
gene-BBC0122_RS01755	801	516.472	0	0
gene-BBC0122_RS01760	1332	1044.17	0	0
gene-BBC0122_RS01765	1341	1053.17	0	0
gene-BBC0122_RS01770	1473	1185.17	0	0
gene-BBC0122_RS01775	570	304.104	0	0
gene-BBC0122_RS01780	1929	1641.17	0	0
gene-BBC0122_RS01785	450	210.084	0	0
gene-BBC0122_RS01790	834	548.407	0	0
gene-BBC0122_RS01795	630	357.098	0	0
gene-BBC0122_RS01800	2916	2628.17	0	0
gene-BBC0122_RS01805	741	459.112	0	0
gene-BBC0122_RS01810	738	456.251	0	0
gene-BBC0122_RS01815	621	348.899	0	0
gene-BBC0122_RS01820	1383	1095.17	0	0
gene-BBC0122_RS01825	876	589.658	0	0
gene-BBC0122_RS01835	1245	957.167	0	0
gene-BBC0122_RS01840	945	657.917	0	0
gene-BBC0122_RS01845	1008	720.167	0	0
gene-BBC0122_RS01850	855	569.183	0	0
gene-BBC0122_RS01855	723	442.57	0	0
gene-BBC0122_RS01860	699	419.966	0	0
gene-BBC0122_RS01865	1539	1251.17	0	0
gene-BBC0122_RS01870	3747	3459.17	0	0
gene-BBC0122_RS01875	2714	2426.17	0	0
gene-BBC0122_RS01880	702	422.795	0	0
gene-BBC0122_RS01885	225	69.145	0	0
gene-BBC0122_RS01890	648	373.441	0	0
gene-BBC0122_RS01895	207	59.8205	0	0
gene-BBC0122_RS01900	423	191.005	0	0
gene-BBC0122_RS01905	960	672.717	0	0
gene-BBC0122_RS01915	1212	924.167	0	0
gene-BBC0122_RS01920	732	450.893	0	0
gene-BBC0122_RS01925	816	530.892	0	0
gene-BBC0122_RS01930	987	699.237	0	0
gene-BBC0122_RS01935	423	191.005	0	0
gene-BBC0122_RS01940	351	142.023	0	0
gene-BBC0122_RS01945	909	622.175	0	0
gene-BBC0122_RS01950	1200	912.167	0	0
gene-BBC0122_RS01955	789	505.09	0	0
