target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9891.24	0	0
DWV-C	10149	9900.24	0	0
NC_009025.1	9499	9250.24	0	0
NC_004807.1	9524	9275.24	0	0
NC_010711.1	3674	3425.24	0	0
NC_002548.1	9491	9242.24	0	0
NC_014137.1	9505	9256.24	0	0
NC_032433.1	5991	5742.24	4	0.236187
NC_003784.1	8550	8301.24	0	0
NC_002066.1	8832	8583.24	228	9.00659
NC_006494.1	10112	9863.24	0	0
NC_040601.1	9552	9303.24	0	0
KX578272.1	4146	3897.24	0	0
NC_027631.1	6258	6009.24	0	0
NC_035071.1	20414	20165.2	0	0
KY354240.1	10091	9842.24	0	0
KY354234.1	14001	13752.2	0	0
KR819915.1	496396	496147	3	0.00205016
MG571088.1	1811	1562.24	0	0
MG571087.1	2194	1945.24	0	0
NC_027619.1	6169	5920.24	0	0
MK032464.1	8332	8083.24	0	0
MK032465.1	2198	1949.24	0	0
MK032466.1	1899	1650.24	0	0
MK032467.1	1983	1734.24	0	0
MK032468.1	1708	1459.24	0	0
MK032469.1	1442	1193.24	0	0
MK032470.1	951	702.307	0	0
gene-BBC0122_RS00005	822	573.852	0	0
gene-BBC0122_RS00010	597	354.027	0	0
gene-BBC0122_RS00015	858	609.561	0	0
gene-BBC0122_RS00020	588	345.737	0	0
gene-BBC0122_RS00025	702	455.757	0	0
gene-BBC0122_RS00030	2949	2700.24	0	0
gene-BBC0122_RS00035	579	337.465	0	0
gene-BBC0122_RS00040	198	54.1514	1	6.26134
gene-BBC0122_RS00045	1221	972.235	0	0
gene-BBC0122_RS00050	642	397.209	0	0
gene-BBC0122_RS00055	687	441.208	0	0
gene-BBC0122_RS00060	540	301.283	0	0
gene-BBC0122_RS00065	1008	759.235	0	0
gene-BBC0122_RS00070	873	624.437	0	0
gene-BBC0122_RS00075	561	320.704	0	0
gene-BBC0122_RS00080	948	699.307	0	0
gene-BBC0122_RS00085	498	263.228	0	0
gene-BBC0122_RS00090	705	458.757	0	0
gene-BBC0122_RS00095	1401	1152.24	0	0
gene-BBC0122_RS00100	189	49.5651	0	0
gene-BBC0122_RS00105	1275	1026.24	1	0.330392
gene-BBC0122_RS00110	2439	2190.24	0	0
gene-BBC0122_RS00115	384	170.695	0	0
gene-BBC0122_RS00120	243	78.9165	0	0
gene-BBC0122_RS00125	972	723.235	0	0
gene-BBC0122_RS00130	300	111.417	0	0
gene-BBC0122_RS00135	288	104.648	0	0
gene-BBC0122_RS00140	1458	1209.24	0	0
gene-BBC0122_RS00145	1161	912.235	0	0
gene-BBC0122_RS00150	558	317.769	0	0
gene-BBC0122_RS00155	957	708.307	0	0
gene-BBC0122_RS00160	261	88.7819	0	0
gene-BBC0122_RS00165	768	520.616	0	0
gene-BBC0122_RS00170	456	227.473	0	0
gene-BBC0122_RS00175	684	438.208	0	0
gene-BBC0122_RS00180	645	400.128	0	0
gene-BBC0122_RS00185	957	708.307	0	0
gene-BBC0122_RS00190	939	690.307	0	0
gene-BBC0122_RS00195	393	177.505	0	0
gene-BBC0122_RS00200	603	359.846	0	0
gene-BBC0122_RS00205	1116	867.235	0	0
gene-BBC0122_RS00210	1368	1119.24	0	0
gene-BBC0122_RS00215	696	449.983	1	0.753495
gene-BBC0122_RS00220	954	705.307	0	0
gene-BBC0122_RS00225	768	520.616	0	0
gene-BBC0122_RS00230	786	538.348	0	0
gene-BBC0122_RS00235	1071	822.235	0	0
gene-BBC0122_RS00240	1071	822.235	1	0.412364
gene-BBC0122_RS00245	720	473.617	1	0.715895
gene-BBC0122_RS00250	645	400.128	0	0
gene-BBC0122_RS00255	1161	912.235	0	0
gene-BBC0122_RS00260	987	738.235	0	0
