target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9894.98	0	0
DWV-C	10149	9903.98	0	0
NC_009025.1	9499	9253.98	0	0
NC_004807.1	9524	9278.98	0	0
NC_010711.1	3674	3428.98	0	0
NC_002548.1	9491	9245.98	2	0.100278
NC_014137.1	9505	9259.98	0	0
NC_032433.1	5991	5745.98	0	0
NC_003784.1	8550	8304.98	1	0.0558202
NC_002066.1	8832	8586.98	0	0
NC_006494.1	10112	9866.98	0	0
NC_040601.1	9552	9306.98	0	0
KX578272.1	4146	3900.98	0	0
NC_027631.1	6258	6012.98	0	0
NC_035071.1	20414	20169	0	0
KY354240.1	10091	9845.98	0	0
KY354234.1	14001	13756	0	0
KR819915.1	496396	496151	1	0.000934364
MG571088.1	1811	1565.98	0	0
MG571087.1	2194	1948.98	0	0
NC_027619.1	6169	5923.98	0	0
MK032464.1	8332	8086.98	0	0
MK032465.1	2198	1952.98	0	0
MK032466.1	1899	1653.98	0	0
MK032467.1	1983	1737.98	0	0
MK032468.1	1708	1462.98	0	0
MK032469.1	1442	1196.98	0	0
MK032470.1	951	706.053	0	0
gene-BBC0122_RS00005	822	577.497	0	0
gene-BBC0122_RS00010	597	356.31	0	0
gene-BBC0122_RS00015	858	613.319	0	0
gene-BBC0122_RS00020	588	347.63	0	0
gene-BBC0122_RS00025	702	459.091	2	2.01958
gene-BBC0122_RS00030	2949	2703.98	1	0.171446
gene-BBC0122_RS00035	579	338.942	0	0
gene-BBC0122_RS00040	198	53.3409	0	0
gene-BBC0122_RS00045	1221	975.979	1	0.474996
gene-BBC0122_RS00050	642	399.952	0	0
gene-BBC0122_RS00055	687	444.317	0	0
gene-BBC0122_RS00060	540	302.22	0	0
gene-BBC0122_RS00065	1008	762.979	0	0
gene-BBC0122_RS00070	873	628.257	2	1.47578
gene-BBC0122_RS00075	561	321.769	0	0
gene-BBC0122_RS00080	948	703.053	0	0
gene-BBC0122_RS00085	498	263.992	0	0
gene-BBC0122_RS00090	705	462.091	1	1.00323
gene-BBC0122_RS00095	1401	1155.98	0	0
gene-BBC0122_RS00100	189	48.1945	3	28.8572
gene-BBC0122_RS00105	1275	1029.98	0	0
gene-BBC0122_RS00110	2439	2193.98	0	0
gene-BBC0122_RS00115	384	172.032	2	5.38952
gene-BBC0122_RS00120	243	80.0962	0	0
gene-BBC0122_RS00125	972	727.053	0	0
gene-BBC0122_RS00130	300	112.622	0	0
gene-BBC0122_RS00135	288	105.693	0	0
gene-BBC0122_RS00140	1458	1212.98	0	0
gene-BBC0122_RS00145	1161	915.979	0	0
gene-BBC0122_RS00150	558	318.964	0	0
gene-BBC0122_RS00155	957	712.053	0	0
gene-BBC0122_RS00160	261	90.9511	0	0
gene-BBC0122_RS00165	768	524.267	0	0
gene-BBC0122_RS00170	456	227.816	0	0
gene-BBC0122_RS00175	684	441.317	2	2.10092
gene-BBC0122_RS00180	645	402.952	0	0
gene-BBC0122_RS00185	957	712.053	0	0
gene-BBC0122_RS00190	939	694.192	0	0
gene-BBC0122_RS00195	393	178.972	0	0
gene-BBC0122_RS00200	603	362.092	0	0
gene-BBC0122_RS00205	1116	870.979	0	0
gene-BBC0122_RS00210	1368	1122.98	0	0
gene-BBC0122_RS00215	696	453.137	4	4.09223
gene-BBC0122_RS00220	954	709.053	1	0.65381
gene-BBC0122_RS00225	768	524.267	0	0
gene-BBC0122_RS00230	786	542	0	0
gene-BBC0122_RS00235	1071	825.979	0	0
gene-BBC0122_RS00240	1071	825.979	0	0
gene-BBC0122_RS00245	720	476.763	0	0
gene-BBC0122_RS00250	645	402.952	0	0
gene-BBC0122_RS00255	1161	915.979	0	0
gene-BBC0122_RS00260	987	741.979	0	0
gene-BBC0122_RS00265	1254	1008.98	0	0
gene-BBC0122_RS00270	996	750.979	0	0
gene-BBC0122_RS00275	768	524.267	0	0
gene-BBC0122_RS00280	408	189.801	0	0
gene-BBC0122_RS00290	1419	1173.98	0	0
gene-BBC0122_RS00300	990	744.979	0	0
gene-BBC0122_RS00305	891	646.257	0	0
gene-BBC0122_RS00310	906	661.192	0	0
gene-BBC0122_RS00315	687	444.317	0	0
