target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9940.33	22	992768
ENA|CEND01000001|CEND01000001.1	10142	9942.33	0	0
NC_009025.1	9499	9299.33	0	0
NC_004807.1	9524	9324.33	0	0
NC_010711.1	3674	3474.33	0	0
NC_002548.1	9491	9291.33	0	0
NC_014137.1	9505	9305.33	0	0
NC_032433.1	5991	5791.33	0	0
NC_003784.1	8550	8350.33	0	0
NC_002066.1	8832	8632.33	0	0
NC_006494.1	10112	9912.33	0	0
NC_040601.1	9552	9352.33	0	0
KX578272.1	4146	3946.33	0	0
NC_027631.1	6258	6058.33	0	0
NC_035071.1	20414	20214.3	0	0
KY354240.1	10091	9891.33	0	0
KY354234.1	14001	13801.3	0	0
KR819915.1	496396	496196	8	7232.07
MG571088.1	1811	1611.33	0	0
MG571087.1	2194	1994.33	0	0
NC_027619.1	6169	5969.33	0	0
MK032464.1	8332	8132.33	0	0
MK032465.1	2198	1998.33	0	0
MK032466.1	1899	1699.33	0	0
MK032467.1	1983	1783.33	0	0
MK032468.1	1708	1508.33	0	0
MK032469.1	1442	1242.33	0	0
MK032470.1	951	751.333	0	0
