target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9830.7	0	0
ENA|CEND01000001|CEND01000001.1	10142	9832.7	0	0
NC_009025.1	9499	9189.7	0	0
NC_004807.1	9524	9214.7	0	0
NC_010711.1	3674	3364.7	0	0
NC_002548.1	9491	9181.7	13	164958
NC_014137.1	9505	9195.7	0	0
NC_032433.1	5991	5681.7	39	799721
NC_003784.1	8550	8240.7	2	28276
NC_002066.1	8832	8522.7	0	0
NC_006494.1	10112	9802.7	0	0
NC_040601.1	9552	9242.7	0	0
KX578272.1	4146	3836.7	0	0
NC_027631.1	6258	5948.7	0	0
NC_035071.1	20414	20104.7	0	0
KY354240.1	10091	9781.7	0	0
KY354234.1	14001	13691.7	0	0
KR819915.1	496396	496087	30	7045.57
MG571088.1	1811	1501.7	0	0
MG571087.1	2194	1884.7	0	0
NC_027619.1	6169	5859.7	0	0
MK032464.1	8332	8022.7	0	0
MK032465.1	2198	1888.7	0	0
MK032466.1	1899	1589.7	0	0
MK032467.1	1983	1673.7	0	0
MK032468.1	1708	1398.7	0	0
MK032469.1	1442	1132.7	0	0
MK032470.1	951	641.703	0	0
