target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	10004	0	0
ENA|CEND01000001|CEND01000001.1	10142	10006	0	0
NC_009025.1	9499	9363	0	0
NC_004807.1	9524	9388	0	0
NC_010711.1	3674	3538	0	0
NC_002548.1	9491	9355	0	0
NC_014137.1	9505	9369	0	0
NC_032433.1	5991	5855	0	0
NC_003784.1	8550	8414	0	0
NC_002066.1	8832	8696	0	0
NC_006494.1	10112	9976	0	0
NC_040601.1	9552	9416	0	0
KX578272.1	4146	4010	0	0
NC_027631.1	6258	6122	0	0
NC_035071.1	20414	20278	0	0
KY354240.1	10091	9955	0	0
KY354234.1	14001	13865	0	0
KR819915.1	496396	496260	4	1e+06
MG571088.1	1811	1675	0	0
MG571087.1	2194	2058	0	0
NC_027619.1	6169	6033	0	0
MK032464.1	8332	8196	0	0
MK032465.1	2198	2062	0	0
MK032466.1	1899	1763	0	0
MK032467.1	1983	1847	0	0
MK032468.1	1708	1572	0	0
MK032469.1	1442	1306	0	0
MK032470.1	951	815	0	0
